[0.00 - 7.00] P:1646.56 E:0.067491 |  And the United States as England kick off and get this match underway.
[4014.00 - 4019.00] P:1376.11 E:0.085441 |  Sterling big touch through the defence, almost a pass to himself.
[4019.00 - 4021.00] P:1178.05 E:0.070763 |  Robinson was alive to it.
[4021.00 - 4026.00] P:1541.33 E:0.105988 |  The other end, I'm just going to give credit to, I think it was Declan Rice, wasn't it, who blocked the shot.
[4026.00 - 4027.00] P:1538.55 E:0.096403 |  It's good defending.
[4027.00 - 4032.00] P:1413.79 E:0.081648 |  Yeah, really good defending, because I had to say, I thought Hadgie Wright was away from him onto his right foot,
[4032.00 - 4035.00] P:1379.69 E:0.073354 |  and that could have caused real problems.
[4035.00 - 4041.00] P:1504.32 E:0.089512 |  The Americans hit the crossbar in the first half, Pulisic, with a flashing shot from outside the penalty area.
[4041.00 - 4046.00] P:1537.13 E:0.087969 |  England have a free kick just inside the American half, which is taken short,
[4046.00 - 4053.00] P:1542.22 E:0.092813 |  and then here is Stones on the halfway line, Stones' curls pass out to the right, that's taken down by Trippier.
[4053.00 - 4060.00] P:1569.54 E:0.092387 |  And now, Mount just found some space, tried to play it into the box, that was blocked by Adams, Trippier was beaten to it, Pulisic.
[4060.00 - 4065.00] P:1591.49 E:0.096761 |  Then beat Mount to it, is Chelsea teammate, and Pulisic is off and running again, Trippier trying to get back.
[4065.00 - 4071.00] P:1512.66 E:0.091644 |  Rice has gone right out there to the far side, but also so has Bellingham, and plays it out of play.
[4071.00 - 4078.00] P:1371.87 E:0.082933 |  I thought again, that had come off the foot of the USA player, but it's given us a throw to the Americans.
[4078.00 - 4086.00] P:1599.93 E:0.087689 |  But it's almost a carbon copy of what we just saw, and it was a ball, this time from Mason Mount, first of the time from Saka.
[4086.00 - 4093.00] P:1613.73 E:0.078121 |  And again, charging down the left-hand side, the team really have got legs.
[4093.00 - 4098.00] P:1535.83 E:0.094626 |  Every match is on 5-5, and BBC sounds from this World Cup.
[4098.00 - 4104.00] P:1458.41 E:0.102974 |  And we've also got an exciting new functionality to tell you about.
[4104.00 - 4107.00] P:1465.13 E:0.097389 |  So when we've got to stop a job, tell you about it.
[4107.00 - 4117.00] P:1593.58 E:0.103909 |  Praise yourself, here's Rice, Rice moves away from Pulisic, and now passes it to Saka, and Saka's got space in front of him, and he takes it on.
[4117.00 - 4126.00] P:1647.33 E:0.104501 |  And here comes across good tackle Adams for the United States, went with him shoulder to shoulder, it was in the area, went to ground, and tackled it out of play on the right.
[4126.00 - 4130.00] P:1439.38 E:0.082371 |  He is pumped, he loved that.
[4130.00 - 4136.00] P:1370.56 E:0.100712 |  Throwing is taken, it's out of play for another throw to England on the right-hand side, I didn't see that.
[4136.00 - 4146.00] P:1391.54 E:0.090023 |  No, it's just the screens here in front of us, after the tackle, got off, no particular direction, just screamed out loud, a whoop, no doubt.
[4146.00 - 4152.00] P:1555.59 E:0.099746 |  The fire through the middle, bounces away from him, and it's cleared away by Zimmerman on the edge of the box, just lifts it forward,
[4152.00 - 4160.00] P:1473.04 E:0.089814 |  offers it to Weyer to run forward, that sure comfortably got there first and plays it back to Pickford.
[4160.00 - 4170.00] P:1396.62 E:0.094081 |  Pickford's first-time task, lovely from him, no particular pressure, but picked out, trivia, was in space on the far side,
[4170.00 - 4179.00] P:1375.01 E:0.098640 |  and then Rice was put under pressure from Hadgy Wright, but England are still keeping the ball inside their own heart.
[4179.00 - 4189.00] P:1559.23 E:0.098699 |  Seven minutes played in the second period, Kane plays it over the top, Mount is onto this, but the ball got away from him, and it bounced into the path of Zimmerman, who is able to tidy up.
[4189.00 - 4196.00] P:1653.10 E:0.087604 |  Paul from Mount again, touch the pass, but when England miss out on a man, when they don't play the simple ball, they get through.
[4196.00 - 4202.00] P:1750.68 E:0.092554 |  Whether it's right to left with a switch, or from defence, straight into Kane, they get through.
[4202.00 - 4215.00] P:1663.83 E:0.089075 |  There's a man down injured on the half-way line, and it's a way of, it was just a sort of, look-sure came in for that, it was a 50-50 with him,
[4215.00 - 4222.00] P:1527.44 E:0.087329 |  I think he's stood on the inside of his boot, maybe, just seeing the replaying now, sort of coming together of ankles.
[4222.00 - 4228.00] P:1520.85 E:0.081218 |  Yeah, top of the ankle, clash, and there's nothing really in it, both win the ball in their own way.
[4228.00 - 4242.00] P:1475.74 E:0.093501 |  The exciting new functionality, Rob, is that if you've joined us late, on most smart speakers, just ask BBC Sounds to rewind to whatever time it is,
[4242.00 - 4251.00] P:1393.80 E:0.088917 |  to go back to the start of our commentary, so ask BBC Sounds to go back to the start of the commentary at whatever time, and you can listen again from the start.
[4251.00 - 4257.00] P:1226.42 E:0.104823 |  Ask BBC Sounds, or the magic words, who it is, an exciting new functionality.
[4257.00 - 4260.00] P:1292.32 E:0.111341 |  Do you think many people will be doing that for this first half?
[4260.00 - 4270.00] P:1277.88 E:0.104562 |  Hell, yes. We might. How many Americans live in the UK, and of course you can listen to BBC Sounds wherever you are in the world, listening this afternoon to Mr. Ian Dennis.
[4270.00 - 4273.00] P:1523.66 E:0.087926 |  What's going on with the sound when I was doing the washing up?
[4273.00 - 4284.00] P:1448.46 E:0.083782 |  Here is... Sorry, it was actually Gary who was doing the washing up, I've got that correct there, yeah, normally it's me but it was Gary today.
[4284.00 - 4294.00] P:1387.01 E:0.090723 |  Not many previous World Cups have done washing up. Here's Bellingham, out to the right-hand side, forward towards Saka, plays it back into his own half, Trippier across to Rice.
[4294.00 - 4304.00] P:1447.29 E:0.087275 |  Rice then picks out the pass to the left-hand side. You do wonder that as that hour mark approaches, must be substitutions in the mind of Gareth Southgate.
[4304.00 - 4317.00] P:1531.85 E:0.087395 |  Kane drags the ball back nicely, then takes it on, mounts here on the left-hand side, mounts, turns, tries to go around, desperate, is forced back, and then back to the halfway line it goes, and Harry McGuire will just tap it to his right again.
[4317.00 - 4323.00] P:1203.38 E:0.089139 |  Declan Rice is there, John Stones is there this time, and now Trippier on the far side.
[4323.00 - 4334.00] P:1309.74 E:0.093467 |  And Mike Richards was saying at half-time about England needing to pass the ball more quickly, get more pace involved in it, we've not really seen that. Rob, have we in the second half yet?
[4334.00 - 4345.00] P:1510.86 E:0.094198 |  It works when they miss out on a man, when it's not the safe pass, and they get it through and they get it round. At the moment it's just not often enough, it's just not good enough.
[4345.00 - 4359.00] P:1319.73 E:0.095200 |  Again there, Trippier trying to play the ball through, passes it into Robinson, bounces out of play, England throw, substitutes are now warming up, 3-4-5 of them, five England substitutes just sprinting up and down the near-touch line, way, way down below us.
[4359.00 - 4371.00] P:1347.93 E:0.085219 |  Shaw takes the ball down on his chest, Shaw back to Rice. Rice has a look forward, but will play it short because the Americans, it's 11-10 blue shirts behind the ball.
[4371.00 - 4382.00] P:1471.56 E:0.097498 |  Headed forward by McGuire at the edge of the box, Kane was there, but he was very closely watched by Zimmerman, and now we're in slights, Sacker illegally says the referee to break it to the USA.
[4382.00 - 4394.00] P:1479.14 E:0.085535 |  He won the ball with the tackle, it was a little tug beforehand, but then before that, John Stones with the straight ball, it just wasn't the right pass, Mason Mount, he's been a bit of a big part player in this game.
[4394.00 - 4405.00] P:1424.78 E:0.086291 |  Now drifting out when England get the ball, drifting out to left back position, in behind Luke Shaw, that's when you know England can't really come up with answers when you've got your creative players having to wonder.
[4405.00 - 4417.00] P:1389.99 E:0.092217 |  The South Gate just questioned that with the fourth official, Yashimi Yamashita down there, there was a little exchange between the two of them, just a query, that's all it was, England nil, USA nil.
[4417.00 - 4439.00] P:1419.71 E:0.084998 |  And it is the United States who have the ball at the back, two previous World Cup meetings, a draw in 2010 in England's first group match, and then the amazing game, the miracle on grass as it was called from fellow horizontal in 1950 when the United States shocked England 1-0.
[4439.00 - 4459.00] P:1593.29 E:0.093132 |  Here's Robinson on the left hand side in field to Musa, and Musa does move it quickly to McKenny, and McKenny now into the box on the right hand side, way up to it back, but intercepted by a stretching Jude Bellingham, very calm, just stepped across and stopped it from reaching anyone in a blue shirt.
[4459.00 - 4472.00] P:1551.26 E:0.090170 |  It's really well read, very mature play, because the idea you think, go chase the ball, go chase the ball, just held his position, they've got to come into the middle of the pitch at some point, they've got to get in front of the goal, I'll just wait and clear it, really mature play.
[4472.00 - 4483.00] P:1439.20 E:0.087421 |  Still waiting for the opening goal of this second group match for these sides, after earlier Iran famously won with those two very late goals against Wales.
[4483.00 - 4494.00] P:1292.61 E:0.091198 |  So England 3 points, Iran 3 points, USA 1, Wales 1 in this group, England Wales on Tuesday, and also of course USA against Iran intriguingly.
[4494.00 - 4500.00] P:1438.25 E:0.088929 |  Just looking at that, just thinking about that, the draw actually doesn't do anything for the USA here.
[4500.00 - 4512.00] P:1622.46 E:0.106679 |  They need to win it, they'll know that, and now the ball's been taken in field by Poulousek, weaving one foot to the other, hit the low shot which took a deflection which pulled it wider than the opposite to USA corner.
[4512.00 - 4522.00] P:1664.01 E:0.106534 |  Again, just taking that half a step back, inviting the run, that's when the USA, they've tried, they really want it, they've got players all over the pitch that can do that.
[4522.00 - 4534.00] P:1643.60 E:0.098366 |  Listen to this, that's the cheers and the throats of the USA supporters inside the ground, stars and stripes being twirled, Stetson's being waved in the air.
[4534.00 - 4553.00] P:1591.72 E:0.095090 |  Corner from the left hand side, see George Washington's down there as well, corner by Poulousek, this is to the back, closed and it's importantly headed away by McGuire with Dest arriving, and then there's a foul by Musa on Jude Dellingham who is less than impressed with that challenge.
[4553.00 - 4558.00] P:1563.36 E:0.089844 |  Musa's put the ball in the net, big cheer from the USA fans but it's a free kick to England.
[4558.00 - 4578.00] P:1516.85 E:0.092942 |  Yeah, really important header from Harry McGuire, he's got the role within the defensive unit, set pieces, four corners to be free in the six yard box, that was critical there because it was Zimmerman three, free at the far post, he lost his run up, England nil, the USA nil.
[4578.00 - 4590.00] P:1554.70 E:0.089162 |  Greg Bear hold that down there, former Crystal Palace man just like Garrus Southgate as the ball is played forward by Pickford but Adams is there, this is worrying for England.
[4590.00 - 4602.00] P:1639.24 E:0.099292 |  Robinson now taking it on, has a look, here's the cross, comes off the head of Declan Rice, that carries it well wide and behind for another corner, another corner to the USA who are building up ahead of Steam here.
[4602.00 - 4615.00] P:1600.61 E:0.098034 |  Yeah, building up ahead of Steam, American fans down in front of Pulisic, captain America, getting even more excited, Jordan Pickford telling the England team just to calm down.
[4615.00 - 4631.00] P:1560.41 E:0.092034 |  So England have got to defend this set piece, Zimmerman just arriving in the penalty area, the grizzled now figure of Tim Reem as well just arrives up there, so it is a corner, Pulisic, big breath, and it comes into the edge of the six yard box, Pickford didn't come, it was headed away.
[4631.00 - 4651.00] P:1639.98 E:0.097617 |  It was headed away by McGuire, still in the area, headed away by Shaw, comes out to the edge of the box, Sterling, and then in comes a crucial challenge, Kane had to time that but he did as Pulisic was looking just a touch it past him but the England captain put it behind, third consecutive corner for USA, nil nil.
[4651.00 - 4659.00] P:1604.70 E:0.096115 |  Well, McGuire is close to getting man of the match here, just from corners, headed away, because there's been vital interceptions.
[4660.00 - 4680.00] P:1661.48 E:0.094638 |  So again, third consecutive corner, all from that far side, the USA left, Pulisic, here's the delivery, and it goes to the edge of the six yard box, McGuire with the header right on the edge of his six yard area, it's played back by Reem, Pulisic takes it down, Pulisic now takes on Harry Kane who was in there defending with his arms behind him.
[4681.00 - 4687.00] P:1647.64 E:0.098336 |  He's behind his back like all the defenders do now and Kane runs it away but shows too much of that to the Americans who have it back again.
[4688.00 - 4697.00] P:1618.72 E:0.090642 |  England are really on the back foot here, Gariselt's getting must be thinking of making a change, it feels like it needs something just to disrupt this USA flow.
[4697.00 - 4705.00] P:1537.25 E:0.084102 |  Yep, just needs us to pause in the game, just needs someone to go down injured to really just take the sting out of it because they are under the pump.
[4706.00 - 4726.00] P:1493.16 E:0.088109 |  So the USA with Zimmerman, Blontair tied back, gives it to Adams in the centre circle who turns all the way around, now back onto his right foot and sprays it past high, Dest heads that back in field, it's Moosa who is onto that but Declan Rice is right there all over the place.
[4727.00 - 4744.00] P:1589.85 E:0.087950 |  They have to go back into their own half, England nil, USA nil, less than half an hour to play. Dest just in front of the coaching areas, takes the ball on past where Greg Bearhalter is standing.
[4745.00 - 4752.00] P:1674.37 E:0.100915 |  Dest now drags it back, that's lovely, beats Bellingham, shot from Pulisic, it's deflected up in the air, McGuire got to it and then across comes Tripp, yeah the header further away.
[4752.00 - 4768.00] P:1716.18 E:0.100601 |  Sterling nods the ball on and this time Mason Mount is beaten to it and in the process shugs over Tyler Adams, the two of them bump bodies as they just get to their feet, free kick to the USA on the right hand side this time, England a labourer in here, struggling.
[4768.00 - 4791.00] P:1636.76 E:0.096457 |  Dest picked up the ball on the touch line and was allowed to run all the way into the centre of the pitch without a challenge and again it was a vital interception from Harri McGuire because the deflection would have taken it straight to right who was on the shoulder, England just can't get the foothold in the game, it got no energy, it needs to make a change.
[4791.00 - 4806.00] P:1581.74 E:0.083662 |  Here on the edge of the desert, the United States are on top, England nil, USA nil, Garra Southgate and Steve Holland are in discussions that we are in 63rd minute and still not a substitution for either side that's most unusual at this World Cup.
[4806.00 - 4823.00] P:1627.48 E:0.093403 |  Robinson playing it forward at the left hand side, Hadji Wright is onto this, Defender comes across and it's blocked behind for another corner, John Stones just has a little word with the Venezuelan referee but it's another corner and it feels like England are living on the edge with these corners.
[4836.00 - 4839.00] P:1490.49 E:0.090238 |  He really sat there looking at it, John there's no way out of the minute.
[4839.00 - 4865.00] P:1616.13 E:0.088187 |  He seems like a long way away, nil nil, so Pulisic again, from that left again standing at right angles to the ball, this one is whipped to the back post, Pickford was struggling there but there was no one arriving on the back post and it actually hit with Pace, he got a touch to it actually, he did get his finger ticked to it and so from that touch beyond the far post and behind for a corner from the other side, the right this time.
[4866.00 - 4888.00] P:1732.11 E:0.098624 |  Yeah just the runners across in the near post, they just catch your eyes a goalkeeper and you take a step forwards towards the near post, the ball goes to the far post and all of a sudden it's a scramble, he did it in off, there was no one behind him but he didn't know, Pulisic has come all the way across and as he does so he just tries to whip up the stars and stripes down there, so it's an out swing at this time.
[4888.00 - 4909.00] P:1686.42 E:0.087891 |  Pulisic to the near post, took a header away for England and that reached Sterling who is shielding it, he's been fouled, he's been fouled by Dest and it's a free kick to England and a chance to relieve the pressure and here's the first substitute who is just peeling off his, in fact let's go down Juliet Farrington behind the goal, let's go to view on that.
[4909.00 - 4924.00] P:1655.70 E:0.085758 |  Yeah the substitution that England will make will be Jordan Henderson, I can just see him, he's taking his bib off, he's receiving instructions from Garaslathgate who has his arm around him right now so Jordan Henderson will be the England player who is going to come on for you John.
[4924.00 - 4939.00] P:1625.30 E:0.079862 |  So Jordan Henderson right move Rob, well it says something doesn't it, you're talking about creative players let's get a, you know create chances, no let's just get some experience, get a foothold in the game, get some know how onto the pitch.
[4939.00 - 4958.00] P:1593.76 E:0.082477 |  Yep so he's just getting his final instructions Jordan Henderson before he steps into this World Cup at the age of 32 and England for once inside the USA half ball played in field by Mount but that's cleared away, the other question of course is who comes off.
[4958.00 - 4960.00] P:1461.58 E:0.072954 |  I think he just gave the ball away.
[4960.00 - 4962.00] P:1392.39 E:0.080925 |  There's the moment.
[4962.00 - 4969.00] P:1548.27 E:0.093064 |  Yep I know he's been a bit part, he's been, not his best performance, I'm a big fan but this has been off it.
[4988.00 - 5000.00] P:1442.91 E:0.091000 |  I'm going to find a way between two England men that Rice is able to put the challenge in, the ball rolls out of play and I think we will see Jordan Henderson coming onto the field now. Or is he quite ready?
[5000.00 - 5002.00] P:1614.22 E:0.102873 |  I think there's more coming as well.
[5002.00 - 5005.00] P:1584.89 E:0.097516 |  Is there going to be another England change Juliet?
[5005.00 - 5016.00] P:1495.54 E:0.096597 |  Yes because Jack Grealish is now receiving his instruction from the England coaching team and he's just getting his shirt ready and getting himself onto the side of the pitch.
[5016.00 - 5025.00] P:1474.25 E:0.090974 |  He's got his arms around Jordan Henderson I can see right now, their deep in conversation, they've obviously been given the game plan. Those will be the players coming on in this double substitution.
[5025.00 - 5038.00] P:1400.12 E:0.091452 |  So that's Jordan Henderson and Grealish so that creativity is going to arrive in the shape of Jack Grealish, England nil, USA nil, United States right on top in this second half.
[5038.00 - 5047.00] P:1331.96 E:0.084863 |  It was even, relatively even in the first half but there's no doubt which team's running it in the second and it's not England.
[5047.00 - 5055.00] P:1495.98 E:0.088444 |  No, he just felt in the first half that England when they got it right they forced errors from America. It's just not happened this time.
[5055.00 - 5062.00] P:1465.52 E:0.088133 |  They just can't force anything, they can't force a press, they can't force any errors, they can't just can't get a grip of the game.
[5062.00 - 5076.00] P:1485.72 E:0.090480 |  Quarter of the match to go England nil, USA nil, there will be a 6-0-6 by the way tonight five live sport on air till 10 o'clock and then Robbie Savage back in the UK and Chris Sutton here in Qatar with us will be taking your calls from 10 o'clock until 11 o'clock.
[5076.00 - 5086.00] P:1371.38 E:0.088897 |  We'll let you know when the lines are open but you can get in touch hashtag BBC 6-0-6. USA played forward but it bounces all the way through for the gold kick.
[5086.00 - 5097.00] P:1521.07 E:0.094838 |  And on a Saturday tomorrow of course really busy sporting day four World Cup commentaries. The FA Cup second round this weekend, the Scottish Cup third round, Broomhill nil, Allo and nil.
[5097.00 - 5105.00] P:1705.12 E:0.089885 |  Last we heard tonight in the Scottish Cup there are five commentaries on Sports Extra from the FA Cup and coverage across the BBC.
[5105.00 - 5115.00] P:1474.19 E:0.098036 |  The change for England, it's Jude Bellingham. Not Mount. I'm sure how that's going down with the England supporters.
[5115.00 - 5127.00] P:1224.27 E:0.098535 |  Raheem Sterling as well, Jack Green is coming on straight swap. That experience is clearly needed.
[5127.00 - 5136.00] P:1212.19 E:0.092329 |  I would say that Jude Bellingham has had his best game in an England shirt but when he's got it right he's been one of the more dangerous players.
[5136.00 - 5148.00] P:1376.53 E:0.093271 |  But here comes Jordan Henderson stepping into what is his sixth major tournament. Three Euros now three World Cups as well for the 32 year old Liverpool captain.
[5148.00 - 5154.00] P:1469.20 E:0.097163 |  I thought he was an absolute certainty to be in this squad. There was no way that Gareth Southgate was leaving him out.
[5154.00 - 5160.00] P:1529.82 E:0.097961 |  Saka receives it from Henderson and now Shaw takes it into the box and crosses left footed but that's headed away by Raheem.
[5160.00 - 5166.00] P:1419.77 E:0.090966 |  Henderson is there, number eight on his back and plays it back to the halfway line. Already instrumental Henderson.
[5166.00 - 5172.00] P:1371.30 E:0.088048 |  He's had three, four, five touches already. Plays the ball to the right hand side to Trippia and then Henderson makes the run.
[5172.00 - 5177.00] P:1533.58 E:0.093003 |  Instead it comes infield to Saka. England already looking better. Saka the Kane on the edge of the box.
[5177.00 - 5183.00] P:1377.42 E:0.085398 |  Kane tries to lift it into the penalty area. That was blocked by Moosa and so the Americans have it back but hit it long.
[5183.00 - 5191.00] P:1506.03 E:0.095416 |  And so England have got it inside their own half. Twenty minutes to play. Rob Green. Yeah all of a sudden Jordan Henderson coming on to the pitch.
[5191.00 - 5199.00] P:1391.97 E:0.089122 |  He says give me the ball. I want the ball. I'm going to play. Then when England two try to recycle it, when they do try to win it back, he's there.
[5199.00 - 5208.00] P:1378.72 E:0.093457 |  Sustain that pressure, sustain the possession. Just the know-how of being in the right place at the right time and how to win it back when it comes out.
[5208.00 - 5218.00] P:1295.15 E:0.095615 |  That reading of the game. England nil, USA nil. Juliet spotted incidentally that Raheem Sterling went down the tunnel after he was brought on.
[5218.00 - 5230.00] P:1509.47 E:0.094874 |  He has Grealish into the action for the first time and into the penalty area and beating two, three men but then over plays it and the USA are able to clear it away and we're back to desk.
[5230.00 - 5234.00] P:1399.30 E:0.092561 |  But Jack Grealish there immediately asking questions of the American defence.
[5234.00 - 5239.00] P:1633.45 E:0.092972 |  Yeah, different. Something different. Something what the Americans have been doing all game. Just driving at players.
[5239.00 - 5245.00] P:1555.33 E:0.096312 |  Paul out of play on the half way line.
[5245.00 - 5261.00] P:1345.05 E:0.089014 |  So Grealish. This is 25th cap. So Grealish is 26th cap. Grealish having scored his first World Cup goal to round things off on Monday afternoon.
[5261.00 - 5266.00] P:1318.00 E:0.090210 |  And the USA are going to respond with their first change down there as well.
[5266.00 - 5275.00] P:1245.82 E:0.092051 |  But we'll see. That in due course. The ball played back to Golgi Vaterna in the D-turner just playing it forward.
[5275.00 - 5285.00] P:1508.00 E:0.092747 |  And Adams now picks out a past at desk who pulls it down, leaps off the ground. Now running away from Mount and then into the challenge that comes in from Luke Shaw.
[5285.00 - 5291.00] P:1505.25 E:0.088152 |  And the ball bounces away. It was a 50-50 between them and it's out of play for what is given as an England throw.
[5291.00 - 5294.00] P:1196.99 E:0.096607 |  So the USA change. That looks like Aronson.
[5294.00 - 5298.00] P:1365.94 E:0.106805 |  It is. Brendan Aronson of Leeds United who is coming on.
[5298.00 - 5305.00] P:1520.37 E:0.096856 |  Allowe winning 1-0 at Brunhal in that Scottish Cup.
[5305.00 - 5311.00] P:1579.08 E:0.094847 |  And the ball is going around Thai tonight. So 5 live sport on it. 9 o'clock in the morning.
[5311.00 - 5316.00] P:1606.72 E:0.096335 |  And Tunisia Australia is the first commentary from 10 o'clock.
[5316.00 - 5321.00] P:1553.86 E:0.094079 |  Breakfast. Rick Edwards here in Qatar. Peter Schmeichels on the program in the morning.
[5321.00 - 5328.00] P:1306.16 E:0.077879 |  And Matt Upson. And Danny Gabbadon. And John Murray as well.
[5328.00 - 5332.00] P:1217.23 E:0.095481 |  And the ball is studded in the morning. England 0. USA 0.
[5332.00 - 5337.00] P:1278.84 E:0.091607 |  I was very impressed with you on the ball ball challenge by the way. Very good. Very good.
[5337.00 - 5340.00] P:1310.20 E:0.112279 |  Well, the adjudicator is still disoriented on my score.
[5340.00 - 5343.00] P:1252.30 E:0.088294 |  It's gone to appeal.
[5343.00 - 5347.00] P:1105.03 E:0.108243 |  It's like the American election. Trump and Bite.
[5347.00 - 5349.00] P:1523.80 E:0.098701 |  I'm not doing it again. I'm not having a recount.
[5349.00 - 5353.00] P:1015.54 E:0.088795 |  England 0. USA 0.
[5353.00 - 5357.00] P:1259.07 E:0.084819 |  And Stones carrying the ball forward.
[5357.00 - 5361.00] P:1250.12 E:0.074712 |  England have got to up this in the remaining...
[5361.00 - 5365.00] P:1376.30 E:0.080621 |  less than 20 minutes now of this match.
[5365.00 - 5369.00] P:1341.28 E:0.095251 |  England know that if they can win the game they will be through to the last 16.
[5369.00 - 5373.00] P:1318.48 E:0.092122 |  But it's been back to the unconvincing stuff from England for large parts of this game now.
[5373.00 - 5375.00] P:1170.71 E:0.078378 |  That's what we have to say.
[5375.00 - 5381.00] P:1266.64 E:0.083161 |  Stones carrying it forward and playing it right footed out towards the left hand side.
[5381.00 - 5383.00] P:1132.94 E:0.088400 |  Mount takes it down.
[5383.00 - 5387.00] P:1281.39 E:0.099182 |  Greelish now moves in field. He's claiming that he was pulled back by Desk.
[5387.00 - 5389.00] P:1442.43 E:0.099204 |  The referee agrees. Gives the free kick.
[5389.00 - 5394.00] P:1403.88 E:0.099873 |  It's actually not unlike the second game at the Euros against Scotland last year.
[5394.00 - 5395.00] P:1546.21 E:0.089554 |  Yeah.
[5395.00 - 5396.00] P:1541.11 E:0.084704 |  Very good.
[5396.00 - 5401.00] P:1659.26 E:0.105592 |  And it's now just looking at the Sergio Lo Desk.
[5401.00 - 5405.00] P:1622.46 E:0.097701 |  He went down with cramp moments ago. Just get the ball to Jack Greelish.
[5405.00 - 5409.00] P:1482.89 E:0.092068 |  He just ran it in then and he was suffering.
[5409.00 - 5411.00] P:1609.13 E:0.097658 |  Reverse pass from Greelish to Mount.
[5411.00 - 5414.00] P:1718.74 E:0.097871 |  Mount gives it back to Greelish. Greelish pulls it back into the area.
[5414.00 - 5417.00] P:1621.68 E:0.084291 |  Very tight for Kane in between.
[5417.00 - 5421.00] P:1640.63 E:0.098253 |  Two men in the box. Moussa and McKenney couldn't find a way through.
[5421.00 - 5423.00] P:1571.27 E:0.104691 |  But it comes back for England and for Greelish.
[5423.00 - 5426.00] P:1679.98 E:0.102694 |  They're looking to Jack Greelish now just like the Euros last year.
[5426.00 - 5430.00] P:1323.22 E:0.072973 |  Come on and do something. Find the spark.
[5430.00 - 5433.00] P:1449.85 E:0.090930 |  Still England now putting more pressure on the United States.
[5433.00 - 5436.00] P:1417.74 E:0.101512 |  And after England have been on the back foot for most of the first half,
[5436.00 - 5439.00] P:1437.15 E:0.092547 |  now it is the United States who are having to defend.
[5439.00 - 5442.00] P:1496.88 E:0.088245 |  And it's up to Kane near the edge of the penalty area.
[5442.00 - 5444.00] P:1433.44 E:0.094194 |  Reem has gone with him.
[5444.00 - 5446.00] P:1302.18 E:0.094530 |  Kane's taking him right away out of the penalty area.
[5446.00 - 5449.00] P:1270.12 E:0.091907 |  However, England have had to go back into their own half.
[5449.00 - 5454.00] P:1196.89 E:0.089078 |  They're recycling it, as they say. McGuire back to Henderson.
[5454.00 - 5456.00] P:1026.90 E:0.084612 |  And then back to McGuire.
[5456.00 - 5460.00] P:1389.16 E:0.090701 |  Jordan Henderson tonight winning his 71st cap for England.
[5460.00 - 5464.00] P:1281.14 E:0.089556 |  So Brendan Aronson, as I mentioned, is going to come on for the United States.
[5464.00 - 5466.00] P:1169.45 E:0.084221 |  Next time the ball is out of play.
[5466.00 - 5471.00] P:1466.35 E:0.095251 |  But here is Rice hitting a long pass for that wave beyond anyone in a white shirt.
[5471.00 - 5475.00] P:1539.80 E:0.098758 |  And stones it was, wasn't it, but the pass.
[5475.00 - 5477.00] P:1464.22 E:0.100269 |  It punches the air in frustration.
[5477.00 - 5479.00] P:1436.28 E:0.107151 |  Let's go back down to Juliet Farrington behind the goal.
[5479.00 - 5483.00] P:1570.24 E:0.098011 |  Here I can see Brendan Aronson waiting patiently as the officials there
[5483.00 - 5487.00] P:1533.34 E:0.103141 |  between the dugouts get the ball ready and permission to make that substitution.
[5487.00 - 5492.00] P:1507.77 E:0.101444 |  Marcus Rashford right now is the England player doing the latest warm-up
[5492.00 - 5495.00] P:1672.94 E:0.093927 |  as he walks away from the corner flag to my right.
[5495.00 - 5500.00] P:1596.69 E:0.085127 |  As Calvin Phillips comes out from the England bench to continue his warm-ups,
[5500.00 - 5503.00] P:1675.81 E:0.094922 |  maybe England will be making another substitution.
[5503.00 - 5506.00] P:1651.14 E:0.096248 |  15 minutes to go. Five live from the BBC.
[5506.00 - 5509.00] P:1552.04 E:0.093232 |  Take the world cup with you on BBC Sounds.
[5509.00 - 5511.00] P:1490.00 E:0.079452 |  And here's Jack Grealish in the centre circle.
[5511.00 - 5514.00] P:1598.24 E:0.095564 |  Grealish playing the ball to Mount on the left-hand side.
[5514.00 - 5517.00] P:1663.29 E:0.099693 |  Shaw goes with him. The two of them almost shoulder to shoulder.
[5517.00 - 5519.00] P:1682.08 E:0.076022 |  Mount just touches it to Shaw.
[5519.00 - 5521.00] P:1504.56 E:0.088792 |  Back to Mount, all very tight.
[5521.00 - 5523.00] P:1527.22 E:0.080047 |  The Americans have been so disciplined.
[5523.00 - 5527.00] P:1473.76 E:0.091450 |  You know, this is a well-coached team as Garrel Southgate said it was yesterday.
[5527.00 - 5529.00] P:1539.92 E:0.070293 |  Rice out to the right-hand side then.
[5529.00 - 5530.00] P:1431.12 E:0.084714 |  Trippier is there.
[5530.00 - 5533.00] P:1396.30 E:0.093010 |  Trippier back in field towards Rice.
[5533.00 - 5538.00] P:1597.13 E:0.084120 |  And then Rice tugging the ball to his left to look Shaw again.
[5538.00 - 5540.00] P:1338.55 E:0.087863 |  And then back into the centre circle.
[5540.00 - 5542.00] P:1414.18 E:0.099672 |  Rob Green's already made the point, really.
[5542.00 - 5546.00] P:1468.86 E:0.098565 |  Two draws for the United States to leave them on two points going into the final match.
[5546.00 - 5548.00] P:1373.89 E:0.110743 |  It's not ideal for them, really.
[5548.00 - 5551.00] P:1505.96 E:0.086656 |  You're in a situation now where you've got to win a game
