[0.00 - 11.00] P:1617.17 E:0.100990 |  For what has been described as a period of silence in memory of Her Majesty Queen Elizabeth II.
[4512.00 - 4515.00] P:1623.42 E:0.090481 |  That's the closest Watford have come and we've got 20 minutes to go.
[4515.00 - 4517.00] P:1665.64 E:0.082095 |  Blackburn won Watford-Nilnorth.
[4517.00 - 4520.00] P:1901.62 E:0.110360 |  Alvarez caught by Lewis Diaz. That'll be a free kick.
[4520.00 - 4523.00] P:1825.06 E:0.093541 |  He's gone down. He's been paid inside his own penalty area.
[4523.00 - 4526.00] P:1869.24 E:0.106023 |  What about the leaders Sheffield United down in South Wales? Laura Kenyon.
[4526.00 - 4528.00] P:1933.55 E:0.102163 |  Swansea-Nilnorth, Sheffield United-Nilnorth.
[4528.00 - 4532.00] P:1880.14 E:0.101671 |  Creativity aplenty but neither side able to find the back of the net.
[4532.00 - 4535.00] P:1834.81 E:0.104337 |  Swansea more than holding their own against the league leaders here.
[4535.00 - 4537.00] P:1853.41 E:0.099799 |  After 72 minutes it's Nilnil.
[4537.00 - 4543.00] P:1635.65 E:0.091193 |  As far as league one is concerned, Clemifar Gile are leading by a goal to Nilnorth.
[4543.00 - 4546.00] P:1855.98 E:0.094115 |  They've just taken the lead at home talks with United.
[4546.00 - 4551.00] P:1844.34 E:0.094193 |  They were third but Portsmouth who are second are still leading at Burton Albion by a goal to Nilnorth.
[4551.00 - 4554.00] P:1932.03 E:0.095060 |  And the leaders in Switch Town remain two nil up.
[4554.00 - 4561.00] P:1699.53 E:0.085808 |  So nothing will change at the top of league one tonight with the results as they are.
[4561.00 - 4565.00] P:1773.41 E:0.070528 |  This is the Champions League on five live.
[4565.00 - 4572.00] P:1737.26 E:0.089270 |  Tomorrow Manchester City Borussia Dortmund at the Etihad will have coverage on BBC Radio 5.
[4572.00 - 4579.00] P:1669.11 E:0.071591 |  Don't forget Rick and Rachel in the morning with breakfast from six through till nine.
[4579.00 - 4587.00] P:1700.11 E:0.078778 |  And then from around a quarter to two tomorrow the coverage of procession to the lying in state
[4587.00 - 4593.00] P:1796.54 E:0.086448 |  Queen Elizabeth the second from 145 on BBC Radio 5 live.
[4593.00 - 4599.00] P:1820.46 E:0.074237 |  And a slightly earlier time following that with drive coming on air at 3.30.
[4599.00 - 4602.00] P:1747.37 E:0.092199 |  Sheffield Wednesday leading Morkham by a goal to Nil.
[4602.00 - 4607.00] P:1752.33 E:0.079482 |  That's in league one. Sheffield Wednesday play-ups which at the weekend.
[4607.00 - 4611.00] P:1684.42 E:0.085313 |  A bit crowd I would think at Hillsborough for that one.
[4611.00 - 4615.00] P:1765.59 E:0.100879 |  As Elliott tries to get just around the right hand side cleared away by Alvarez.
[4615.00 - 4619.00] P:1863.76 E:0.088920 |  He's not aggressive in that defensive midfield just shielding from the back four.
[4619.00 - 4622.00] P:1907.72 E:0.101305 |  Ajax at times in the first half Chris.
[4622.00 - 4631.00] P:1875.88 E:0.089567 |  You felt they were stretched not necessarily the same levels of anxiety in this second half of the Dutch team.
[4631.00 - 4638.00] P:1819.36 E:0.090966 |  No, Liverpool with that high press. Can Ajax beat the press?
[4638.00 - 4642.00] P:1792.67 E:0.087744 |  They've just been a little bit careless once again.
[4642.00 - 4646.00] P:1799.19 E:0.120141 |  Moving the ball away and Liverpool are on to them and Alvarez has to see yellow.
[4646.00 - 4651.00] P:1933.30 E:0.102546 |  They does see yellow. Really reckless challenge on Jota.
[4651.00 - 4659.00] P:1539.65 E:0.082353 |  Ball into Jotu plays the ball round the corner to Elliott and Alvarez follows through takes him out.
[4659.00 - 4662.00] P:1714.75 E:0.089821 |  Yeah, very, very clumsy from the experience.
[4662.00 - 4666.00] P:1900.89 E:0.089126 |  Mexican international he is indeed shown a yellow card.
[4666.00 - 4669.00] P:1800.39 E:0.092115 |  Nearly an hour play to downfield 1-1.
[4669.00 - 4671.00] P:1910.50 E:0.104202 |  Thiago chips the ball into the penalty area.
[4671.00 - 4673.00] P:1902.89 E:0.103732 |  Matt it with the downward header. Salah at the far post.
[4673.00 - 4679.00] P:1914.92 E:0.086872 |  Blint slides back but the referee has already said it will be a goal kick.
[4679.00 - 4684.00] P:1643.77 E:0.077423 |  Blint does brilliantly. Really spots the danger.
[4684.00 - 4691.00] P:1713.78 E:0.088507 |  Well Thiago just hangs the ball up to Van Dijk who plants the header back across the six yard line.
[4691.00 - 4698.00] P:1638.70 E:0.082840 |  Salah looked like he was on to it but using all his experience and clears the ball on to Salah
[4698.00 - 4700.00] P:1505.06 E:0.061464 |  to safety.
[4700.00 - 4704.00] P:1689.97 E:0.096723 |  Four seasons he spent at Old Trafford as Iax are attacking.
[4704.00 - 4710.00] P:1822.16 E:0.103718 |  And Taddux trying to get away from Simicast who had to be alert there to come across and to deal with it.
[4710.00 - 4712.00] P:1995.07 E:0.110840 |  And he's gone well.
[4712.00 - 4716.00] P:1839.33 E:0.112075 |  A left back primarily operating in a right back area because Alexander-Arnold was forward.
[4716.00 - 4722.00] P:1904.81 E:0.104798 |  Simicast was alert. Could be fending. Liverpool now look to attack still at 1-1 in the Champions League.
[4722.00 - 4724.00] P:1893.08 E:0.098825 |  Lewis Diaz with a searching diagonal ball.
[4724.00 - 4727.00] P:1826.93 E:0.103805 |  Salah tries to take it in his stride. Bassey holds him off.
[4727.00 - 4731.00] P:1935.74 E:0.114684 |  Tangled and then Bassey just throws Salah to the ground.
[4731.00 - 4736.00] P:1837.47 E:0.101281 |  You can't do that. Come on. I mean that has to be a free kick to Liverpool.
[4736.00 - 4739.00] P:1806.20 E:0.116119 |  It's not awarded. Mo Salah furious.
[4739.00 - 4745.00] P:1881.15 E:0.099064 |  But here the booze and the cheers within the stadium.
[4745.00 - 4754.00] P:1818.71 E:0.099699 |  If you haven't seen Calvin Bassey before he's a big burly defender and he just rugs that Salah off with one throw the left arm.
[4754.00 - 4762.00] P:1662.80 E:0.072347 |  But there's levels of force and that was over Zelis from Bassey.
[4762.00 - 4766.00] P:1744.06 E:0.083271 |  Simicast on his natural left side now.
[4766.00 - 4771.00] P:1729.89 E:0.093509 |  Lewis Diaz hopping in front of the referee. Liverpool keep the ball over an hour play.
[4771.00 - 4778.00] P:1746.06 E:0.090282 |  That's what I was worrying at the other end. You think that it was Taddux who nearly got in off a quick throw in for Iax.
[4778.00 - 4780.00] P:1685.53 E:0.098066 |  And Simicast did really well didn't he?
[4780.00 - 4785.00] P:1631.64 E:0.086327 |  He made the ball off Taddux and eventually got the ball to safety.
[4785.00 - 4789.00] P:1712.09 E:0.093723 |  Liverpool have to be switched on an alert at the back.
[4789.00 - 4793.00] P:1828.48 E:0.091501 |  Here is Lewis Diaz. He's going to shoot from distance is he?
[4793.00 - 4796.00] P:1869.34 E:0.104695 |  Steadied himself not once but twice. It was a low right footed effort.
[4796.00 - 4801.00] P:1824.63 E:0.095847 |  Struck the legs of Timber. Goes out then towards Simicast now on the left hand side level of the area.
[4801.00 - 4804.00] P:1643.80 E:0.078116 |  And Simicast plays the ball back.
[4804.00 - 4808.00] P:1812.87 E:0.099159 |  This is Tiago running forward now. Threads it forward.
[4808.00 - 4813.00] P:1832.73 E:0.091082 |  Lewis Diaz central area to Elliott side onto goal. Gets it out from underneath his feet.
[4813.00 - 4817.00] P:1774.64 E:0.097461 |  Alexander Arnold on the right. He goes square. Interception from Taylor.
[4817.00 - 4820.00] P:1822.29 E:0.097330 |  Liverpool try and retrieve it. Burgwein caught by Massit.
[4820.00 - 4823.00] P:1813.39 E:0.106597 |  He's got to go in the book for that. Massit will get a yellow card.
[4823.00 - 4830.00] P:1777.91 E:0.081200 |  It's really brilliant from Burgwein. He leaves the pressure for Iax.
[4830.00 - 4835.00] P:1630.24 E:0.082409 |  It was Taylor who plays a little ten yard pass into him.
[4835.00 - 4842.00] P:1575.38 E:0.088930 |  Burgwein knows Mattip is going to try and nick the ball in front of him and rolls him.
[4842.00 - 4848.00] P:1640.25 E:0.084167 |  Wins the free kick. Mattip under a little bit of pressure now.
[4848.00 - 4856.00] P:1796.06 E:0.093134 |  When they met in the group stages in 2020, Liverpool won both matches by a goal to nil.
[4856.00 - 4861.00] P:1864.54 E:0.092550 |  The goal here at Anfield was scored by Curtis Jones.
[4861.00 - 4866.00] P:1841.21 E:0.110373 |  His first goal in European competition. Liverpool are looking to try and retake the lead.
[4866.00 - 4871.00] P:1936.85 E:0.105027 |  Simicast left hand side. Drills it in low. Massit deals with a threat of Jota.
[4871.00 - 4876.00] P:1960.75 E:0.099526 |  Up into the air it goes. Lewis Diaz hits it low. Block then Iax.
[4876.00 - 4880.00] P:1877.78 E:0.115239 |  Funnel out of their penalty area as the ball is back on the halfway line.
[4880.00 - 4885.00] P:1916.24 E:0.102922 |  The Liverpool crowd respond trying to urge Liverpool forward.
[4885.00 - 4889.00] P:1739.25 E:0.104950 |  You can hear the response from the Anfield faithful.
[4889.00 - 4898.00] P:1776.40 E:0.077729 |  Allyson. Now with Van Dijk. Thiago. Still quite a high line from that defence.
[4898.00 - 4908.00] P:1807.56 E:0.082844 |  Taylor's dropped back now as well because Alexander-Arnold is inverted and he's gone forward into that advanced roll.
[4908.00 - 4913.00] P:1883.78 E:0.091984 |  Elliott skips out of one challenge by Taylor.
[4913.00 - 4921.00] P:1920.42 E:0.087205 |  He was combative in the second challenge. Jota slips. Fabinho wins the ball back.
[4921.00 - 4925.00] P:1978.86 E:0.111972 |  Finds Salah in the area. Salah can't take it but the goalkeeper flags up.
[4925.00 - 4927.00] P:1895.25 E:0.112838 |  Elliott hits the side, netting anyway.
[4927.00 - 4932.00] P:1854.49 E:0.090390 |  Well, the flag was sort of up wasn't it? He takes the flag down.
[4932.00 - 4936.00] P:1862.34 E:0.090015 |  The assistant bit of uncertainty there.
[4936.00 - 4943.00] P:1897.70 E:0.104544 |  But Pazvir does brilliantly because as the ball eventually comes through to Mo Salah.
[4943.00 - 4947.00] P:1821.53 E:0.098737 |  It's a very tight one. Mo Salah tries to take it round him.
[4947.00 - 4951.00] P:1819.26 E:0.079357 |  Pazvir actually pinches the ball off him.
[4951.00 - 4954.00] P:1752.53 E:0.098236 |  He's left foot but Liverpool look like they're going to make changes.
[4954.00 - 4957.00] P:1746.85 E:0.068582 |  But Jahn's gone for Liverpool.
[4957.00 - 4960.00] P:1721.63 E:0.107340 |  The offside had it been for Salah would have been very, very tight.
[4960.00 - 4968.00] P:1811.45 E:0.090354 |  It would have been one for the semi-automated VAR that's in operation in the group stages this year.
[4968.00 - 4976.00] P:1765.49 E:0.096591 |  As a double change. Darwin Nunes who actually knocked Ajax out of the Champions League last season
[4976.00 - 4978.00] P:1763.47 E:0.091230 |  whilst he was playing for Benfica.
[4978.00 - 4982.00] P:1534.23 E:0.093999 |  He scored the only goal in Amsterdam.
[4982.00 - 4989.00] P:1779.39 E:0.095879 |  And Firmino are the two players who are going to be coming on as Liverpool get ready to make a double change.
[4990.00 - 4995.00] P:1790.24 E:0.093380 |  For what is their final game before the international break.
[4995.00 - 4999.00] P:1792.01 E:0.090843 |  Not playing at the weekend after that match against Chelsea was postponed.
[4999.00 - 5003.00] P:1778.82 E:0.091818 |  As Ajax attack down that far side there right.
[5003.00 - 5007.00] P:1822.80 E:0.092365 |  And the ball is put out of play for an Ajax throw down by the corner flag.
[5007.00 - 5010.00] P:1772.81 E:0.081170 |  65 minutes we've been playing here.
[5010.00 - 5013.00] P:1718.84 E:0.096379 |  Bradford City are back in front at Prenton Park.
[5013.00 - 5016.00] P:1731.10 E:0.086628 |  Tramir 1. Bradford City 2.
[5016.00 - 5020.00] P:1730.08 E:0.096079 |  Ajax have a throw. There are no other goals to tell you about.
[5020.00 - 5023.00] P:1622.48 E:0.093085 |  As Middlesbrough in fact they've just got a goal back.
[5023.00 - 5026.00] P:1864.75 E:0.091852 |  In fact Middlesbrough scored twice in the space of two minutes.
[5026.00 - 5031.00] P:1719.77 E:0.090463 |  So it's now Middlesbrough 2. Cardiff City 3 in the championship.
[5031.00 - 5036.00] P:1745.59 E:0.090317 |  Firmino and Nunez wait to come on. You're listening to 5 Live.
[5036.00 - 5040.00] P:1731.37 E:0.093241 |  Here at Anfield as the ball is spread out to Bergvein.
[5040.00 - 5043.00] P:1843.70 E:0.102841 |  Bergvein off his thighs runs forward.
[5043.00 - 5046.00] P:1899.83 E:0.109819 |  Doesn't get the better of Alexander-Ile. The referee all in black.
[5046.00 - 5050.00] P:1834.92 E:0.090401 |  Then even had a little slip on the greasy surface.
[5050.00 - 5053.00] P:1924.30 E:0.118062 |  Lewis Diaz has done wonderfully well to keep the ball in play.
[5053.00 - 5056.00] P:1924.03 E:0.109822 |  Left hand side he's round the back. He's into the penalty area.
[5056.00 - 5058.00] P:1958.67 E:0.108246 |  Lewis Diaz goes for goal himself.
[5058.00 - 5061.00] P:2032.23 E:0.108432 |  Close down ball goes behind for a corner kick 1-1.
[5061.00 - 5064.00] P:1986.29 E:0.098408 |  Sensational from Diaz.
[5064.00 - 5069.00] P:1924.24 E:0.106131 |  The raking diagonal ball from Trent Alexander-Ile Muskers.
[5069.00 - 5072.00] P:1925.02 E:0.112528 |  Must have gone 60-70 yards. Looks like it's going out for a throw in.
[5072.00 - 5076.00] P:1997.59 E:0.109042 |  Diaz only keeps the ball in.
[5076.00 - 5083.00] P:1915.73 E:0.112830 |  The lures at wrenching and then drives into the box and Timber super alert to clear the danger.
[5083.00 - 5088.00] P:1871.10 E:0.114895 |  The double change then for Nunez and Firmino is Harvey Elliott and Jota.
[5088.00 - 5094.00] P:1857.04 E:0.119307 |  His first start. Jota only played 38 minutes.
[5094.00 - 5100.00] P:1848.47 E:0.111088 |  With his two substitute appearances before tonight and Harvey Elliott makes way.
[5100.00 - 5106.00] P:1791.95 E:0.078093 |  Corner kick to Liverpool. It's an out swinger from the left.
[5106.00 - 5110.00] P:1867.71 E:0.085556 |  It was Firmino who got half a touch on that.
[5110.00 - 5115.00] P:1886.47 E:0.092747 |  Salah under pressure from Taylor. Passes the ball back to Alexander-Ile.
[5115.00 - 5120.00] P:1888.98 E:0.096211 |  Plays it forward. Teed up towards Matip. Matip van Dijk.
[5120.00 - 5122.00] P:1954.65 E:0.111648 |  Nobody really wanted to have a go.
[5122.00 - 5124.00] P:2023.19 E:0.106881 |  It was unfortunate. It fell to the two central defenders.
[5124.00 - 5127.00] P:2043.86 E:0.099881 |  Simicast twisting and turning. Left hand side delivers the cross.
[5127.00 - 5130.00] P:1931.83 E:0.099695 |  Nunez was there and his head is off target.
[5130.00 - 5134.00] P:1976.79 E:0.105285 |  It's a goal kick as we approach the midway point in the second half on five live
[5134.00 - 5136.00] P:1931.41 E:0.095900 |  and still Liverpool 1-1.
[5136.00 - 5141.00] P:1745.82 E:0.091833 |  A rise smile in his technical area from Jurgen Klopp. Absolutely spot on.
[5141.00 - 5146.00] P:1745.40 E:0.098229 |  Ian probably wanted to shoot as the ball was popped back to Matip.
[5146.00 - 5151.00] P:1910.86 E:0.100674 |  He could have got a shot off. What 16 yards out. Didn't take responsibility.
[5151.00 - 5155.00] P:1883.87 E:0.084318 |  He pops it out to van Dijk who takes a touch and the chance gone.
[5155.00 - 5161.00] P:1769.66 E:0.077945 |  Now it's a wrench down for Ajax.
[5161.00 - 5167.00] P:1852.19 E:0.106415 |  A little bit of cramp. Maybe just trying to run the clock down.
[5167.00 - 5170.00] P:1948.34 E:0.105988 |  Sheffield Wednesday 4th in League One.
[5170.00 - 5172.00] P:1968.49 E:0.111442 |  The top four in League One are all winning.
[5172.00 - 5175.00] P:1740.38 E:0.112464 |  Morkham who are next to bottom and yet to win have conceded a second.
[5175.00 - 5178.00] P:1750.97 E:0.103026 |  So Morkham mills Sheffield Wednesday 2.
[5178.00 - 5180.00] P:1762.20 E:0.120212 |  Huddersfield Town forward out a win.
[5180.00 - 5182.00] P:1841.95 E:0.105328 |  Equalised at home to Wigan. That's 1-1.
[5182.00 - 5187.00] P:1783.22 E:0.096739 |  And Barrow are leading Doncaster by two goals to nil.
[5187.00 - 5190.00] P:1768.60 E:0.071112 |  And that is in League Two.
[5190.00 - 5197.00] P:1832.29 E:0.083876 |  Whilst I was reading out those scores, there's been a change made by Alfred Schruder.
[5197.00 - 5199.00] P:1828.02 E:0.086579 |  49 year old Ajax coach.
[5199.00 - 5205.00] P:1773.57 E:0.089198 |  He took Bruges to the Belgian title last year after taking over in January.
[5205.00 - 5210.00] P:1836.86 E:0.075191 |  Previously at number two to Eric Tenhaag.
[5210.00 - 5218.00] P:1825.22 E:0.075127 |  Ajax in the year that they reached the last four of the Champions League
[5218.00 - 5220.00] P:1844.78 E:0.067641 |  before Tottenham beat them.
[5220.00 - 5226.00] P:1851.58 E:0.086068 |  Epic 48 hours after Liverpool's unforgettable victory here against Barcelona.
[5226.00 - 5230.00] P:1893.64 E:0.086132 |  The previous night, Simacas keeps the ball in play.
[5230.00 - 5235.00] P:1842.16 E:0.086089 |  Left-hand side of the penalty area, down by the byline, comes back to Núñez.
[5235.00 - 5237.00] P:1802.18 E:0.089763 |  Liverpool all in red playing from left to right.
[5237.00 - 5239.00] P:1804.56 E:0.089389 |  Back out to Simacas, it goes.
[5239.00 - 5242.00] P:1791.19 E:0.071601 |  Holding the width of that left touch line.
[5242.00 - 5247.00] P:1749.24 E:0.083335 |  Thiago doesn't really break his stride as he runs in field with the ball.
[5247.00 - 5250.00] P:1822.76 E:0.098613 |  Matip joins the attack edge of the area.
[5250.00 - 5251.00] P:1897.62 E:0.106871 |  Still going into the deep.
[5251.00 - 5254.00] P:1772.30 E:0.094236 |  Cleared away then by Alvarez, dropping back once more.
[5254.00 - 5259.00] P:1858.35 E:0.094500 |  Could have taken a shot on again, Matip, but I guess that was on his weaker left foot.
[5259.00 - 5261.00] P:1751.74 E:0.073946 |  Elected not to.
[5261.00 - 5265.00] P:1920.06 E:0.086303 |  Simacas with a cross claimed by...
[5265.00 - 5268.00] P:1925.05 E:0.092609 |  So it was Sanchez whose command, wasn't it?
[5268.00 - 5269.00] P:1847.83 E:0.093727 |  Yep, the Mexican.
[5269.00 - 5273.00] P:1745.06 E:0.096994 |  I think Renchoff, he was the player who went down, whether it was Cranport,
[5273.00 - 5277.00] P:1686.31 E:0.077111 |  whether there was a muscle injury.
[5277.00 - 5281.00] P:1604.10 E:0.079091 |  Just Renchoff and Sanchez quite right.
[5281.00 - 5284.00] P:1731.32 E:0.072888 |  Mexican international on.
[5284.00 - 5288.00] P:1836.20 E:0.106346 |  Signed in for £4.5 million from Club America in the summer.
[5288.00 - 5292.00] P:1840.30 E:0.079256 |  Made his debut last month against Utrecht's.
[5292.00 - 5298.00] P:1944.90 E:0.092706 |  21 caps for Mexico for a 24-year-old.
[5298.00 - 5300.00] P:1967.74 E:0.120453 |  Just over 20 minutes remaining.
[5300.00 - 5305.00] P:1751.09 E:0.069375 |  I had him down as 25 caps.
[5305.00 - 5308.00] P:1478.16 E:0.094727 |  Well, who's going to argue about three caps?
[5308.00 - 5310.00] P:1759.04 E:0.072647 |  Well, one of us is wrong.
[5310.00 - 5312.00] P:1671.57 E:0.065602 |  There's four caps.
[5312.00 - 5314.00] P:1811.59 E:0.116079 |  Told you about basketball.
[5314.00 - 5319.00] P:1769.55 E:0.075070 |  Matip clears long. Timber heads it away.
[5319.00 - 5321.00] P:1624.29 E:0.103593 |  Let's get an update from Ewood Park, Lee Blakeman.
[5321.00 - 5323.00] P:1706.20 E:0.109929 |  Blackburn 2-Wattford 0.
[5323.00 - 5326.00] P:1766.21 E:0.104752 |  Corner swung in from the right and there was Dom Hyam at the back post.
[5326.00 - 5328.00] P:1692.74 E:0.115099 |  A double Blackburn's lead.
[5328.00 - 5329.00] P:1802.82 E:0.108331 |  That could be the match.
[5329.00 - 5330.00] P:1781.71 E:0.111452 |  Blackburn 2-Wattford 0.
[5330.00 - 5333.00] P:1835.85 E:0.101220 |  And the girl is Swansea with Laura.
[5333.00 - 5334.00] P:1983.38 E:0.115180 |  Sheffield United 0.
[5334.00 - 5337.00] P:1776.71 E:0.115475 |  The league leaders being held in South Wales.
[5337.00 - 5339.00] P:1761.61 E:0.101429 |  Former Swansea man, Rian Brewster,
[5339.00 - 5341.00] P:1783.47 E:0.090485 |  close with the header wide for Sheffield United.
[5341.00 - 5344.00] P:1734.49 E:0.094126 |  But with less than five minutes to go, it's 0-0.
[5344.00 - 5345.00] P:1760.32 E:0.110525 |  Yeah, I was right.
[5345.00 - 5348.00] P:1909.58 E:0.093491 |  Says there, 21 caps.
[5348.00 - 5350.00] P:1829.85 E:0.129041 |  The seller out towards Alexander-Arnold.
[5350.00 - 5352.00] P:1837.83 E:0.115507 |  The referee, though, has brought play back
[5352.00 - 5354.00] P:1871.03 E:0.101680 |  and has given a free kick against Liverpool
[5354.00 - 5356.00] P:1809.81 E:0.089016 |  for a challenge from Fabinho.
[5356.00 - 5359.00] P:1806.51 E:0.093376 |  Free kick inside the centre circle for Ajax.
[5361.00 - 5366.00] P:1528.03 E:0.089660 |  I'll have to check that was my own statistician.
[5366.00 - 5368.00] P:1680.42 E:0.091591 |  Well, don't worry. I trust mine.
[5368.00 - 5371.00] P:1640.76 E:0.066724 |  Here is Bergwein.
[5371.00 - 5374.00] P:1835.25 E:0.097404 |  Liverpool facing a big 19 minutes here in the Champions League,
[5374.00 - 5377.00] P:1773.29 E:0.079181 |  being held at home by Ajax.
[5378.00 - 5381.00] P:1473.52 E:0.057008 |  As Sanchez.
[5381.00 - 5383.00] P:1914.00 E:0.120637 |  Caught by Simacas.
[5383.00 - 5386.00] P:1886.26 E:0.091060 |  Clears, Nunes on the halfway line.
[5386.00 - 5388.00] P:1892.53 E:0.105395 |  Tries to lay it back.
[5388.00 - 5390.00] P:1767.95 E:0.090091 |  Berghaus looking for a ball round the middle,
[5390.00 - 5391.00] P:1809.46 E:0.096783 |  round the back it's got there.
[5391.00 - 5393.00] P:1945.26 E:0.105927 |  This is Kudos. Sten is himself.
[5393.00 - 5395.00] P:1981.25 E:0.102585 |  Allyson stands tall in his near post.
[5395.00 - 5396.00] P:1878.18 E:0.111992 |  It was a late flag.
[5396.00 - 5398.00] P:1878.26 E:0.100819 |  Wouldn't have counted anyway, maybe.
[5398.00 - 5399.00] P:1883.82 E:0.104539 |  But Allyson was equal to it.
[5399.00 - 5402.00] P:1664.68 E:0.084872 |  Frustration from the Liverpool defenders.
[5402.00 - 5404.00] P:1609.50 E:0.106861 |  Virgil van Dijk not happy.
[5404.00 - 5407.00] P:1549.10 E:0.079501 |  Kudos is a good yard offside.
[5407.00 - 5409.00] P:1877.87 E:0.096285 |  Should have been flagged,
[5409.00 - 5411.00] P:1734.13 E:0.082538 |  but the assistants are told not to flag.
[5411.00 - 5418.00] P:1739.56 E:0.084052 |  But that all came from Nunes being really careless.
[5418.00 - 5420.00] P:1712.15 E:0.068359 |  With his first touch.
[5420.00 - 5423.00] P:1826.60 E:0.091982 |  If in doubt, take two touches.
[5423.00 - 5426.00] P:1794.25 E:0.101541 |  Needs to hold the ball in better.
[5426.00 - 5429.00] P:1750.30 E:0.082887 |  I've been a surprise to a few Liverpool fans
[5429.00 - 5432.00] P:1743.57 E:0.090309 |  that might have seen Jota starting.
[5432.00 - 5434.00] P:1765.68 E:0.082311 |  The head of Nunes.
[5434.00 - 5436.00] P:1384.06 E:0.082429 |  Lewis Diass has given the ball away.
[5436.00 - 5438.00] P:1735.65 E:0.110403 |  From 1.23 it passes to another,
[5438.00 - 5441.00] P:1773.96 E:0.100695 |  but Berghaus unable to get further forward for Ajax.
[5441.00 - 5443.00] P:1901.17 E:0.098424 |  Cleared by Allyson.
[5443.00 - 5445.00] P:1876.33 E:0.086861 |  Walker Mill Sheppield Wednesday 3.
[5445.00 - 5448.00] P:1920.61 E:0.095493 |  Crew have equalised at Harlec Hall.
[5448.00 - 5450.00] P:1851.41 E:0.118404 |  It's 1-1 in League 2.
[5450.00 - 5452.00] P:1857.53 E:0.114347 |  And Wigan are back in front in the championship at Huddersfield.
[5452.00 - 5454.00] P:1884.62 E:0.109668 |  Huddersfield 1-Wigan 2.
[5454.00 - 5458.00] P:1887.06 E:0.089589 |  But a free kick goes in favour of Ajax.
[5458.00 - 5460.00] P:1837.52 E:0.090965 |  Deep inside their own half.
[5460.00 - 5462.00] P:1925.85 E:0.097803 |  18 minutes remaining.
[5462.00 - 5466.00] P:1814.86 E:0.085052 |  At times in the first half you felt that Liverpool were creating chances.
[5466.00 - 5468.00] P:1892.75 E:0.098356 |  There was a threat there.
[5468.00 - 5472.00] P:1794.53 E:0.088108 |  It's only been sporadic in this second half, hasn't it, from the home team?
[5472.00 - 5474.00] P:1601.30 E:0.090028 |  It has, then.
[5474.00 - 5476.00] P:1483.08 E:0.090554 |  You said it.
[5476.00 - 5481.00] P:1680.57 E:0.101986 |  Big last 20 minutes, down to 17, 18 minutes now.
[5481.00 - 5484.00] P:1624.16 E:0.101730 |  Liverpool have to find a way to win this game,
[5484.00 - 5487.00] P:1736.92 E:0.083811 |  but he just sends Ajax.
[5487.00 - 5490.00] P:1760.03 E:0.098325 |  They've broken out at times.
[5490.00 - 5492.00] P:1832.20 E:0.101421 |  And they go on and win it.
[5492.00 - 5495.00] P:1799.77 E:0.093190 |  Alexander-Arnold wins the ball from Taylor, runs forward.
[5495.00 - 5497.00] P:1978.61 E:0.103899 |  Now towards Salah.
[5497.00 - 5500.00] P:1940.33 E:0.110442 |  Salah tries to cross the ball with the outside of his left boot,
[5500.00 - 5502.00] P:1937.40 E:0.105031 |  hits the legs and glint, goes behind for a corner,
[5502.00 - 5504.00] P:1830.49 E:0.111160 |  kicking in front of the cop.
[5504.00 - 5506.00] P:1983.37 E:0.086736 |  Port Vale have equalised at Oakwell.
[5506.00 - 5508.00] P:1835.68 E:0.095991 |  Barnsley 1, Port Vale 1.
[5508.00 - 5511.00] P:1806.39 E:0.088515 |  And Thiago trying to lift the cop.
[5511.00 - 5514.00] P:1679.02 E:0.114284 |  Rouse them up.
[5514.00 - 5517.00] P:1616.75 E:0.096074 |  It's up to the players to do it, isn't it?
[5517.00 - 5520.00] P:1781.45 E:0.099621 |  It is 17 minutes remaining.
[5520.00 - 5522.00] P:1760.75 E:0.074566 |  Playing from left to right.
[5522.00 - 5524.00] P:1754.93 E:0.079647 |  Corner right-hand side.
[5524.00 - 5526.00] P:1865.98 E:0.108964 |  Swung over by Alexander-Arnold.
[5526.00 - 5529.00] P:1986.46 E:0.102486 |  And matter if it was, 6 yards out, couldn't keep his header down.
[5529.00 - 5532.00] P:1900.48 E:0.092552 |  Over the top of the crossbar and out for a goal kick,
[5532.00 - 5534.00] P:1823.32 E:0.096240 |  and it remains 1-1.
[5534.00 - 5536.00] P:1877.42 E:0.062187 |  What a chance!
[5536.00 - 5539.00] P:1813.27 E:0.076224 |  What a chance for Metip.
[5539.00 - 5542.00] P:1739.04 E:0.084725 |  6 yards out, free header.
[5542.00 - 5546.00] P:1900.79 E:0.081953 |  And he just powers the ball
[5546.00 - 5548.00] P:1914.64 E:0.089013 |  over the Iax bar.
[5550.00 - 5553.00] P:1817.26 E:0.114374 |  Can't play through Iax's batting.
[5553.00 - 5555.00] P:1894.04 E:0.107289 |  It's a good press from Liverpool.
[5555.00 - 5557.00] P:1863.38 E:0.086173 |  That's what they have done well.
[5557.00 - 5559.00] P:1542.14 E:0.092231 |  The Iax have had the ball at the back.
[5559.00 - 5561.00] P:1623.50 E:0.076312 |  They've really put them under pressure.
[5561.00 - 5564.00] P:1511.36 E:0.076490 |  Made it very difficult for Iax to play out,
[5564.00 - 5567.00] P:1697.05 E:0.076572 |  but they've just lacked that quality
[5567.00 - 5569.00] P:1585.33 E:0.082368 |  in the final third.
[5569.00 - 5574.00] P:1632.98 E:0.070848 |  Thiago hasn't been as effective in this second half.
