[0.00 - 6.00] P:1606.65 E:0.255550 |  Yes, thanks Mark. Welcome to Kaliningrad. We're up here on the Baltic Sea coast.
[3391.00 - 3397.00] P:1747.16 E:0.246141 |  Batuay now takes it on, and Yanisai on the right hand side turns, gives it back now,
[3397.00 - 3401.00] P:1785.44 E:0.288060 |  to Tillerman's on his left foot, thought about a shot, checked it back, gives it to Yanisai,
[3401.00 - 3407.00] P:1853.39 E:0.355809 |  he puts his foot on it, oh, Beats Rose, brilliantly and curls it in, and Belgium have taken the lead.
[3407.00 - 3414.00] P:1857.42 E:0.364019 |  They're now on course to go top of the group, and that was a quite delightful goal by Adnan Yanisai,
[3414.00 - 3422.00] P:1829.28 E:0.339375 |  who beat Rose, all ends up and curl the shot past Jordan Pickford into the net to make it England nil.
[3422.00 - 3426.00] P:1717.52 E:0.336813 |  Belgium won, I've got to say that is fair quality, I saw this kid play years ago,
[3426.00 - 3430.00] P:1741.65 E:0.317405 |  I thought he was going to be a superstar, I did when I first saw him play the Man United,
[3430.00 - 3434.00] P:1842.05 E:0.305648 |  it's never happened for him, he's lost his way, he's ended up playing in Spain,
[3434.00 - 3438.00] P:1743.44 E:0.327918 |  he's given Danny Rose a hard evening tonight, you've got to say every time he's picked it up, he's looked dangerous,
[3438.00 - 3442.00] P:1780.17 E:0.320494 |  he's always got the beat in, he's put a few crosses in, this is brilliant, just drags it,
[3442.00 - 3448.00] P:1679.51 E:0.331267 |  bends it with his left foot, Pickford absolutely no chance, Danny Rose is on his heels, can't get back across him,
[3448.00 - 3453.00] P:1646.83 E:0.306841 |  wraps his left foot around it, top corner, what a goal that is.
[3453.00 - 3459.00] P:1817.17 E:0.275061 |  It'll be interesting now to see how Belgium play from now on.
[3459.00 - 3468.00] P:1797.90 E:0.307146 |  One nil, Belgium lead, so it would now, if it finished like this, it would be England,
[3468.00 - 3477.00] P:1820.21 E:0.276501 |  it would be runners up and would play Colombia in Moscow,
[3477.00 - 3485.00] P:1780.16 E:0.209760 |  and it would be Belgium who would play Japan in Rostov.
[3485.00 - 3491.00] P:1753.17 E:0.262524 |  The ball is played back to Pickford, well how will the two teams react?
[3491.00 - 3495.00] P:1670.19 E:0.237137 |  England now, he's getting beat, you've got to try and get back into the game,
[3495.00 - 3499.00] P:1664.43 E:0.240245 |  the ball's gone out, Pickford's kicked there, it's gone out at Farside,
[3499.00 - 3504.00] P:1598.38 E:0.265895 |  England's got now to take the game to Belgium because at the end of the day, as it is,
[3504.00 - 3510.00] P:1640.90 E:0.243939 |  Harry Kane's getting his shin pads on, so he must be coming on.
[3510.00 - 3514.00] P:1647.59 E:0.272339 |  Interesting twist that we weren't expecting.
[3514.00 - 3518.00] P:1610.55 E:0.298033 |  Well as Alan Shearer said, every player going out on the pitch,
[3518.00 - 3522.00] P:1516.45 E:0.305430 |  Janusz, I wanted to score here tonight, Janusz, I wanted to do that at a World Cup,
[3522.00 - 3526.00] P:1775.20 E:0.309571 |  and he's done it, and now he has Loftus Chief bringing the ball forward powerfully,
[3526.00 - 3531.00] P:1746.85 E:0.309789 |  strongly, and he's bundled over centrally by Dembele, and it's a free kick to England
[3531.00 - 3533.00] P:1670.34 E:0.276569 |  in a good position centrally.
[3533.00 - 3538.00] P:1655.34 E:0.265108 |  And Will Alexander-Arnold take this as well, he took every piece tonight,
[3538.00 - 3542.00] P:1620.84 E:0.269329 |  good run by Loftus Chief, Dembele does bring him down, it's a good, it's middle of the goal,
[3542.00 - 3547.00] P:1651.16 E:0.232690 |  it's what, 30 yards? Good opportunity.
[3547.00 - 3554.00] P:1621.39 E:0.277912 |  It's England-Nil, Belgium won, very, very good goal by Adnan Januszaj in the 51st minute,
[3554.00 - 3558.00] P:1632.20 E:0.284910 |  but Eric Dyer won this free kick to play, so now I can see Tunisia have equalised against
[3558.00 - 3562.00] P:1634.67 E:0.274010 |  Panama in the dead rubber incidentally, Fajr Ben-Yusuf has scored the goal.
[3562.00 - 3567.00] P:1618.55 E:0.270135 |  Eric Dyer picked up the ball, remember him scoring the free kick at the Euros two years ago
[3567.00 - 3570.00] P:1640.25 E:0.285508 |  against Russia, this is a little further out, it is quite central,
[3570.00 - 3575.00] P:1704.88 E:0.253765 |  Delphi's there and Alexander-Arnold, I think Alexander-Arnold's got it, I think so too.
[3575.00 - 3582.00] P:1778.77 E:0.219312 |  It's a big wall and there's three English players done on the end of it, trying to block the goalkeeper's view.
[3582.00 - 3590.00] P:1737.99 E:0.253943 |  So Alexander-Arnold, this is certainly 25 yards out, just slightly to the right of centre,
[3590.00 - 3596.00] P:1780.90 E:0.249106 |  and almost, all but about four or five of the outfield players are in this wall,
[3596.00 - 3604.00] P:1781.04 E:0.245417 |  hits to one of the widest walls as Alexander-Arnold swings it, predictably, into the wall.
[3604.00 - 3611.00] P:1762.46 E:0.225201 |  Delphi, back towards the half-way line after the ricochet off the Belgian wall,
[3611.00 - 3618.00] P:1664.15 E:0.256199 |  and Pickford strikes this downfield, it's helped on by Dyer, who I think might have been caught there by Vermeerlen.
[3618.00 - 3623.00] P:1730.13 E:0.256797 |  He did catch him slightly, he just held the ball on, but Vermeerlen just came a little bit late,
[3623.00 - 3628.00] P:1703.78 E:0.250863 |  Dyer's alright, he's getting up, referee Scrimina spotted it, so the free kick has taken short.
[3628.00 - 3634.00] P:1636.52 E:0.262544 |  Certainly from an England point of view, they've got, clearly they're old Fellini,
[3634.00 - 3640.00] P:1743.17 E:0.287036 |  does his Zinedine Zidane turn to get away from Delphi and from Vardy, played back to Courtois.
[3640.00 - 3644.00] P:1634.92 E:0.281336 |  Courtois strikes it long towards the half-way line, Harry Maguire wins the header,
[3644.00 - 3649.00] P:1599.59 E:0.264184 |  now Delphi hoists it forward, Vardy was in an offside position, so it bounces through to Courtois.
[3649.00 - 3653.00] P:1630.87 E:0.280047 |  Interesting, I can't tell what Southgate thinks now, because he's won down,
[3653.00 - 3657.00] P:1696.44 E:0.261742 |  and I've got to say, Belgium are quite up for it at the moment, their tempo's good,
[3657.00 - 3661.00] P:1617.19 E:0.249910 |  they're moving the ball quick, wonderful goal by Zinedine Zidane,
[3661.00 - 3666.00] P:1691.48 E:0.275399 |  I've got to say it was a real top-class goal, just trying to see, just getting in my feet to see who is warming up.
[3666.00 - 3670.00] P:1647.97 E:0.291324 |  Fetting him down there, actually youngers out there, Danny Welbeck as well,
[3670.00 - 3676.00] P:1697.23 E:0.274926 |  he now is the only England player, the outfield player in this squad who hasn't been on the pitch at this World Cup.
[3676.00 - 3680.00] P:1714.62 E:0.284106 |  England, though loose possession, Lofter's cheek was shrugged off the ball,
[3680.00 - 3685.00] P:1750.03 E:0.321158 |  now it's been taken forward by Torgan Azad, he exchanges passes with Batchewy, Azad,
[3685.00 - 3691.00] P:1749.58 E:0.319902 |  now into the penalty area, the Anazide, who went for another shot between the legs of Maguire this time,
[3691.00 - 3694.00] P:1704.13 E:0.331142 |  but he was able to close them and block it out for a throw.
[3694.00 - 3697.00] P:1743.75 E:0.307974 |  That's what they're good at, Belgium, you've been watching this tournament,
[3697.00 - 3702.00] P:1676.85 E:0.273229 |  I know these players aren't even playing with Wendeltsen, Azad normally, they really break quickly and get the ball in,
[3702.00 - 3705.00] P:1730.02 E:0.281383 |  the Brauner set some free and they're off and they really play with pace.
[3705.00 - 3707.00] P:1702.03 E:0.265368 |  The start of the second half, very, very well.
[3707.00 - 3711.00] P:1570.07 E:0.284413 |  Five live with England at the World Cup, we're live in Kallenengrad,
[3711.00 - 3717.00] P:1606.64 E:0.283268 |  listened as well by the BBC Sport app and the website, World Cup Daily Podcast will be available
[3717.00 - 3721.00] P:1399.07 E:0.289795 |  as it is every day of the tournament, there'll be a new one when you wake up in the morning,
[3721.00 - 3728.00] P:1825.56 E:0.265155 |  as Jamie Vardy fouls for Marlon on the far side and it's a free kick to Belgium.
[3728.00 - 3733.00] P:1672.84 E:0.275745 |  The World Cup Daily Podcast tomorrow will bring you the interview that I'll be doing down in the tunnel after the match
[3733.00 - 3737.00] P:1683.79 E:0.256260 |  with Gareth Southgate, whichever England players I speak to, that will be on there
[3737.00 - 3741.00] P:1667.14 E:0.250732 |  and Mark Chapman also will be talking to Alan Shearer and Dion Dublin
[3741.00 - 3745.00] P:1648.78 E:0.257698 |  on the five live World Cup Daily Podcast tomorrow morning
[3745.00 - 3750.00] P:1662.49 E:0.257507 |  and Robbie Savage's World Cup Breakfast will be on as part of the wider breakfast programme,
[3750.00 - 3754.00] P:1624.81 E:0.282874 |  Rachel Burden will be involved in that from six o'clock in the morning UK time,
[3754.00 - 3759.00] P:1609.18 E:0.277941 |  she'll be here in Kallenengrad as she is inside the ground, I can see her from where I'm watching this match
[3759.00 - 3765.00] P:1695.78 E:0.274888 |  in the commentary position and also Paul Gascoigne is going to be a guest with Robbie Savage in the morning
[3765.00 - 3769.00] P:1581.26 E:0.260772 |  so don't miss that between half past eight and nine o'clock, Gazan.
[3769.00 - 3773.00] P:1679.13 E:0.250655 |  Ball hit long and forward from the half-way line for Belgium,
[3773.00 - 3780.00] P:1725.30 E:0.261075 |  Azad is tangling with Alexander Arnold and the ball eventually bounces out of play
[3780.00 - 3786.00] P:1859.68 E:0.260632 |  and that is given as an England throw, just chested back to Alexander Arnold
[3786.00 - 3792.00] P:1668.05 E:0.254433 |  who then volleys it high downfield towards Vardy who wins a header and Varmalan goes down
[3792.00 - 3800.00] P:1707.72 E:0.257138 |  holding his face and Vardy and Varmalan have clashed heads actually because Vardy is rubbing the back of his head.
[3800.00 - 3803.00] P:1675.28 E:0.241625 |  There's blood I think on Varmalan, I'm sure they just saw it, there is.
[3803.00 - 3812.00] P:1724.35 E:0.232897 |  Oh yeah it's a gash on his forehead and yeah just back of head on forehead, he's hit the back of Vardy's head
[3812.00 - 3818.00] P:1658.63 E:0.277578 |  as you say he gets up a bit late, Vardy tries to flick it on and he heads the back of his head and unfortunately he'll have to lose a pitch.
[3818.00 - 3825.00] P:1669.11 E:0.260607 |  Yes he will, he will receive lengthy treatment now, I would expect he is setting up for Varmalan,
[3825.00 - 3830.00] P:1671.48 E:0.240898 |  he's okay they've obviously got a check for the concussion but it was a crack on the front of his head
[3830.00 - 3838.00] P:1730.17 E:0.259338 |  and the crowd attendance has been announced here 33,973 and a good proportion,
[3838.00 - 3844.00] P:1586.20 E:0.274815 |  officially something like 3,500 England fans inside the stadium but I think they're all on that.
[3844.00 - 3848.00] P:1594.86 E:0.240924 |  I think they're all on that, I think they're right, I think it's all on the bottom tier really
[3848.00 - 3853.00] P:1682.93 E:0.258207 |  and I think a lot of people do wear England shirts who actually live in Russia.
[3853.00 - 3859.00] P:1679.87 E:0.245598 |  So at the moment it is England near Belgium 1, Adnan Yannisai scoring the goal,
[3859.00 - 3868.00] P:1682.68 E:0.245681 |  Thomas Varmalan is still receiving treatment here, so England would go to Rostov to play Japan in the last 16,
[3868.00 - 3877.00] P:1702.75 E:0.241202 |  what am I talking about, England would go to Moscow to play Columbia in the last 16 on Tuesday
[3877.00 - 3885.00] P:1702.13 E:0.241420 |  so they would have an extra day and then the route after that for England and obviously that is a tough enough game,
[3885.00 - 3894.00] P:1591.28 E:0.227481 |  England would then go to Samara for the quarter final, worthy to beat Columbia and then it would be back to Moscow again.
[3894.00 - 3903.00] P:1698.96 E:0.248589 |  So it's the easier route in terms of travel as well but this is not finished yet and Varmalan still receiving treatment,
[3903.00 - 3910.00] P:1692.08 E:0.232927 |  so it's a tough game in the field and Jamie Vardy plays the ball all the way back to Kourtois.
[3910.00 - 3913.00] P:1559.10 E:0.278549 |  So Belgium are playing with 10 men at the moment.
[3913.00 - 3916.00] P:1525.53 E:0.281538 |  You said before John didn't you, Belgium are on beating what, 20 games?
[3916.00 - 3921.00] P:1534.49 E:0.205959 |  20, yeah. They want to keep that rock going as well.
[3921.00 - 3927.00] P:1671.85 E:0.269361 |  That's your eye, wins the header. Now here is goal scorer Yannisai, really excellent goal,
[3927.00 - 3935.00] P:1588.22 E:0.227643 |  BBC highlights later if you get the chance, Adnan Yannisai and Donka receiving the pole.
[3935.00 - 3942.00] P:1609.81 E:0.253565 |  I think for Marlon it's just about ready now to come back onto the field, he's just having a swig of water on the far side of the ground.
[3942.00 - 3950.00] P:1596.12 E:0.224006 |  It's lovely temperature here, but near the Baltic coast on an evening like this it can't be any more than what,
[3950.00 - 3959.00] P:1723.48 E:0.234970 |  late teams, something like that warm enough to sit and watching short sleeved shirts if you've got any still clean enough.
[3959.00 - 3965.00] P:1653.26 E:0.234526 |  As the ball goes back to Dembele who turns and runs it back into his own half and gives it to Kourtois.
[3965.00 - 3972.00] P:1720.54 E:0.231086 |  It is 20 degrees here in Kölnengrad. I am informed by Gary.
[3972.00 - 3983.00] P:1844.95 E:0.258133 |  Here's Fellaini, the offside flag, up on the far side against Torgan Hazard and it's a free kick to England.
[3983.00 - 3988.00] P:1669.22 E:0.312185 |  And now we're seeing this, it's become a bit of a theme this hasn't it during the course of the World Cup matches.
[3988.00 - 3996.00] P:1636.23 E:0.285653 |  The chant of Ruff Sia, which tends to go about now doesn't it, without an hour gone in all of the matches.
[3996.00 - 3998.00] P:1597.91 E:0.289612 |  I don't know whether it's something that's been choreographed.
[3998.00 - 4003.00] P:1661.87 E:0.311511 |  England with the ball on the right hand side with Loftus cheek, does well into the penalty area, takes it to the byline,
[4003.00 - 4009.00] P:1732.43 E:0.259592 |  chips it across, takes a double deflection and in the end is cleared away by Chadley for Belgium.
[4009.00 - 4019.00] P:1656.14 E:0.276421 |  Fellaini put under pressure, England win the ball back, Jones, Alexander-Arnold gives it back to Jones who overhits the cross across the face of goal and beyond the far post for goal kick.
[4019.00 - 4021.00] P:1724.44 E:0.246255 |  Another cross shot that was.
[4022.00 - 4032.00] P:1657.11 E:0.266631 |  I'm surprised, I actually thought England would have really upped the tempo, started asking more questions, taken a bit of a risk, a little bit more risk.
[4032.00 - 4036.00] P:1675.26 E:0.273731 |  They've actually sat off the pace, letting Belgium just pass the ball around them.
[4036.00 - 4044.00] P:1613.58 E:0.255253 |  You've got to say this is the first team, I know England's made a lot of changes, I've Belgium up, but this is the first team they've played and may I say I've got a bit of quality.
[4044.00 - 4056.00] P:1749.62 E:0.226773 |  Yeah, good. Is it fair to draw conclusions from this match tonight when these teams that have been picked for tonight have been selected?
[4058.00 - 4064.00] P:1662.58 E:0.272204 |  Yeah, well you've got to think, yeah England might say you've got Ari Keating coming in, we've made a difference in front of goal, but I've really created a lot of chances.
[4064.00 - 4071.00] P:1683.55 E:0.255582 |  But maybe another one or two, but when you're talking about people like Hazard coming in, that's a massive difference as well, massive.
[4071.00 - 4077.00] P:1743.20 E:0.276508 |  England have got to be careful here, but they are nicely played away from the back by Maguire and Cahill and Delph.
[4077.00 - 4084.00] P:1764.25 E:0.310173 |  And now Loftus Cheek has set away over the half-way line and he's off and running and he has lots of options and he gives it out to the right-hand side.
[4084.00 - 4087.00] P:1750.44 E:0.286082 |  Alexander Arnold looked as though he might have been offside.
[4087.00 - 4089.00] P:1748.99 E:0.265613 |  Why did he just put his flag up?
[4089.00 - 4091.00] P:1866.65 E:0.224139 |  And then the flag goes up, free kick to Belgium.
[4091.00 - 4100.00] P:1743.55 E:0.229686 |  Why did the weight, he's like three yards offside and he stands on weights till action, something else happens and he takes up with me on the arm now.
[4101.00 - 4109.00] P:1692.77 E:0.247282 |  I'm almost afraid to mention it, but in the first referees briefing they did say that they were encouraging the assistant not to put their flag to the tight decisions.
[4109.00 - 4114.00] P:1688.90 E:0.238849 |  That wasn't tight, no, that was like 20 yards offside.
[4114.00 - 4116.00] P:1775.08 E:0.233355 |  Is that tight?
[4116.00 - 4127.00] P:1701.86 E:0.275497 |  It's 1-0 to Belgium and at the moment England will be heading to Moscow for that game against Columbia because they're losing by one goal to nil.
[4127.00 - 4131.00] P:1751.15 E:0.264483 |  England with Loftus Cheek.
[4131.00 - 4141.00] P:1642.29 E:0.269746 |  Now Rashford, challenged by Boyatter and Boyatter bounces off Rashford who's left on the ground and Belgium played away from the back and that was possibly a little late there by Vardy on Fomarlin as well.
[4141.00 - 4146.00] P:1787.71 E:0.232470 |  But referee Skumina allows it to go, Delph, the outside of his boot.
[4146.00 - 4150.00] P:1783.57 E:0.268842 |  Vardy spreads it past Rose here on the left-hand side.
[4150.00 - 4157.00] P:1764.51 E:0.269629 |  Rose goes past Chadley, crosses towards Vardy, important touch from Boyatter, played across the back line.
[4157.00 - 4167.00] P:1711.41 E:0.255664 |  Dembele will have to clear it away, Torgan Hazard though in a tight position there against Vardy turns away and clears it up towards Batouay on the halfway line.
[4167.00 - 4171.00] P:1568.17 E:0.311185 |  Belgium still leading through that very good Yanisai goal.
[4171.00 - 4179.00] P:1740.13 E:0.240847 |  Batouay and Telemans together, now Fellaini on the left-hand side, comes back from Torgan Hazard to Dembele.
[4180.00 - 4182.00] P:1621.82 E:0.250882 |  And Belgium dropped a walking pace.
[4182.00 - 4185.00] P:1646.81 E:0.287764 |  Just controlling the game, managing the game very well.
[4185.00 - 4188.00] P:1791.51 E:0.258373 |  If it's a counter-attack chance on John, they go for it.
[4188.00 - 4193.00] P:1714.61 E:0.277507 |  If they don't see it, England getting the ball quick, they decide to keep the ball, slow the game down.
[4193.00 - 4195.00] P:1901.21 E:0.221552 |  He has Yanisai again with Rose.
[4195.00 - 4197.00] P:1641.50 E:0.296229 |  Yanisai up against Rose once more.
[4197.00 - 4199.00] P:1598.54 E:0.231131 |  This is Telemans running out of play.
[4199.00 - 4208.00] P:1688.81 E:0.265407 |  Actually it's quite a rare win for Danny Rose in that particular contest and Rose has thrown it to Maguire who has Yanisai all over him.
[4208.00 - 4213.00] P:1756.42 E:0.275926 |  Maguire just well though uses his strength against the much freer in terms of his build.
[4213.00 - 4219.00] P:1725.09 E:0.265142 |  Yanisai holds him off and then chips it away downfield and Belgium have to go back into the run.
[4219.00 - 4221.00] P:1782.15 E:0.233041 |  I don't know what to go through Martian as I said.
[4221.00 - 4228.00] P:1702.13 E:0.237553 |  He actually must have thought, this is the, you know, well it's well documented, he doesn't want to win the group.
[4228.00 - 4232.00] P:1721.77 E:0.244791 |  That's what he's quoted as saying from yesterday.
[4232.00 - 4240.00] P:1723.82 E:0.247130 |  But you know when Adnan Yanisai scores a goal like that, that's good for the team collective, good for the confidence.
[4240.00 - 4245.00] P:1804.07 E:0.255435 |  But Telemans chips the ball out of play and it's the throwing to England half way inside their own half.
[4245.00 - 4258.00] P:1789.96 E:0.251979 |  And of course, you know, if England are disrupted, if their momentum is disjointed by this display and we know that that happened two years ago at Euro 2016,
[4258.00 - 4262.00] P:1789.13 E:0.213881 |  you know, there will be questions to be answered.
[4262.00 - 4266.00] P:1702.28 E:0.226931 |  But we'll only really know that after the piece, won't we?
[4266.00 - 4278.00] P:1770.46 E:0.211707 |  Maguire passing the ball along the edge of his penalty area, Pickford just scampers out, little pass towards Jones who brings it up towards the half way line.
[4278.00 - 4282.00] P:1746.02 E:0.210841 |  Alexander-Arnold now back to Phil Jones.
[4283.00 - 4287.00] P:1789.13 E:0.273925 |  And then England start again in central defence with Gary Cahill.
[4287.00 - 4295.00] P:1864.98 E:0.243132 |  The only man in this squad, when it was named, who'd won more than 50 caps, 61st cap that he's winning tonight, Gary Cahill,
[4295.00 - 4300.00] P:1904.06 E:0.265190 |  the much decorated FA Cup winning captain of this season.
[4300.00 - 4306.00] P:1839.65 E:0.254358 |  Rose now on the left hand side just in front of where Roberto Martinez is watching.
[4306.00 - 4315.00] P:1873.69 E:0.228796 |  Gaia for England who took the captain's armband tonight with Harry Kane and as yet unused substitute.
[4315.00 - 4321.00] P:1728.36 E:0.238547 |  Gaia makes himself available to Jones, but Jones goes back to Alexander-Arnold on the right hand side.
[4321.00 - 4326.00] P:1758.15 E:0.261412 |  No urgency, John. They're just passing the ball and Belgium's thinking, well, do you actually want to win the group?
[4326.00 - 4330.00] P:1882.95 E:0.230005 |  He was interested because you're not taking any risk.
[4330.00 - 4331.00] P:1734.97 E:0.105069 |  There you go.
[4331.00 - 4337.00] P:1877.74 E:0.335377 |  There's Bardi. Slips the ball through to Rashford. Rashford is clean through. Rashford shoots wide.
[4337.00 - 4339.00] P:1903.24 E:0.252619 |  Save.
[4339.00 - 4343.00] P:1835.92 E:0.308475 |  A little touch from Courtois. Could have been much of one.
[4343.00 - 4351.00] P:1877.39 E:0.261197 |  One-on-one, clearest chance of the match so far for England and Rashford is denied by a touch from Courtois.
[4351.00 - 4352.00] P:1781.93 E:0.232617 |  It seems.
[4352.00 - 4354.00] P:1572.44 E:0.263184 |  I don't know if it was as good as the corners we'd take.
[4354.00 - 4357.00] P:1684.55 E:0.263965 |  The corners have been taken, but Azard, Poggan Azard swings it back out for a throw on the first leg.
[4357.00 - 4362.00] P:1590.55 E:0.280734 |  He could have done anything there. He could have lifted it, placed it. He could have went round the goalkeeper if he wanted to.
[4362.00 - 4365.00] P:1703.02 E:0.253850 |  He was clear. He's trying to hit it really early.
[4365.00 - 4368.00] P:1743.29 E:0.210895 |  Whatever had hit Courtois, Han or his boot, it went great.
[4368.00 - 4370.00] P:1716.33 E:0.238934 |  Nice combination though from Bardi and Rashford.
[4370.00 - 4372.00] P:1687.34 E:0.244517 |  Bardi should have a solo.
[4372.00 - 4382.00] P:1684.87 E:0.226226 |  England 0, Belgium 1, which is a similar scoreline to when these teams last met in the World Cup back in 1990,
[4382.00 - 4387.00] P:1690.58 E:0.249968 |  when England won by the only goal of the match, the famous David Platt volley.
[4387.00 - 4391.00] P:1638.91 E:0.279761 |  Here's Maguire, who's going to swing a high ball far to the England right.
[4391.00 - 4393.00] P:1593.20 E:0.274719 |  Alexander Arnold as well, actually.
[4393.00 - 4397.00] P:1749.57 E:0.234339 |  Little poke to Loftus' cheek. Fabian Delton possession.
[4397.00 - 4403.00] P:1756.22 E:0.268322 |  He's going to shoot, you know, left footed and he slices it badly wide and he holds his head, actually.
[4403.00 - 4405.00] P:1905.07 E:0.269262 |  An anguish goal kick.
[4405.00 - 4408.00] P:1842.05 E:0.287356 |  Belgium 1-0 to Belgium.
[4408.00 - 4413.00] P:1783.27 E:0.239670 |  And this is Chris Waddle, who played in that game back in 1990.
[4413.00 - 4416.00] P:1706.86 E:0.251596 |  Just watching the replay of the Rashford chance.
[4416.00 - 4418.00] P:1405.85 E:0.283276 |  There was a bit more tempo about our game.
[4418.00 - 4421.00] P:1698.67 E:0.233302 |  No, Rashford, great chance.
[4421.00 - 4425.00] P:1655.95 E:0.245340 |  Courtois, it must have hit the end of his glove because it just went past the post,
[4425.00 - 4427.00] P:1658.96 E:0.287963 |  but he could have done a lot of things, but it was a great move.
[4427.00 - 4429.00] P:1551.37 E:0.285275 |  Bardi, Lincoln, the play, very, very well.
[4429.00 - 4432.00] P:1788.29 E:0.257111 |  England 0, Belgium 1, BBC 5 live.
[4432.00 - 4439.00] P:1671.50 E:0.254056 |  So we are on course for England against Columbia and Belgium against Japan in the last 16,
[4439.00 - 4445.00] P:1711.48 E:0.212893 |  because Belgium are winning this match and will win the group.
[4445.00 - 4450.00] P:1684.09 E:0.254513 |  And Telemans now in the centre circle plays it to the right-hand side to Chadley.
[4450.00 - 4452.00] P:1676.68 E:0.299669 |  Chadley looks for the run of Yangers-Eye.
[4452.00 - 4455.00] P:1765.12 E:0.215884 |  Oh, he's just got to it ahead of Yangers-Eye.
[4455.00 - 4456.00] P:1441.08 E:0.288159 |  Killed the ball, actually.
[4456.00 - 4461.00] P:1611.44 E:0.235697 |  And now Maguire will step forward from the back and hit a long pass over the top,
[4461.00 - 4462.00] P:1802.61 E:0.219655 |  looking for Rashford.
[4462.00 - 4467.00] P:1744.30 E:0.254033 |  Courtois comes out and calmly allows the ball to bounce and skip through to him
[4467.00 - 4469.00] P:1835.37 E:0.211983 |  before Rashford could get there.
[4469.00 - 4474.00] P:1756.06 E:0.195824 |  Dembele, away from Ruben Loftus-Chik.
[4474.00 - 4476.00] P:1593.25 E:0.249531 |  They're like two middleweight boxers, those two, aren't they?
[4476.00 - 4480.00] P:1634.13 E:0.247847 |  They're up against each other, Loftus-Chik and Dembele in centrefield.
[4480.00 - 4484.00] P:1631.27 E:0.244164 |  Now Yangers-Eye on the right-hand side back to Telemans,
[4484.00 - 4487.00] P:1776.88 E:0.243895 |  and Telemans goes out to the left-hand side to Torgan Asar
[4487.00 - 4490.00] P:1614.78 E:0.260784 |  to bring that ball down on his right shoulder.
[4490.00 - 4493.00] P:1555.38 E:0.247549 |  No place in the team for Eden Azard or De Bruyne.
[4493.00 - 4496.00] P:1598.86 E:0.230115 |  Incidentally, Lukaku, I don't know whether you're spotted at half-time,
[4496.00 - 4500.00] P:1700.03 E:0.223033 |  Chris, as Fellaini heads the ball out of play on the far side.
[4500.00 - 4506.00] P:1803.77 E:0.253427 |  Lukaku was warming up, and he was going through a series of exercises on the pitch,
[4506.00 - 4509.00] P:1729.89 E:0.254715 |  which is good news for Belgium after the start that he'd made,
[4509.00 - 4511.00] P:1722.11 E:0.251376 |  but then picking up that ankle injury.
[4511.00 - 4514.00] P:1692.95 E:0.253912 |  But when the teams came out at the start of the second half,
[4514.00 - 4517.00] P:1721.58 E:0.247734 |  it was like a testimonial down there.
[4517.00 - 4521.00] P:1760.13 E:0.275653 |  The clubmates saying one another, he actually embraced Marcus Rashford.
[4521.00 - 4524.00] P:1739.66 E:0.246179 |  He put his arms around him and gave him a proper hug.
[4524.00 - 4526.00] P:1723.13 E:0.252095 |  That wasn't a corner.
[4526.00 - 4530.00] P:1887.33 E:0.226565 |  There they are, still looking at it.
[4530.00 - 4537.00] P:1776.26 E:0.273968 |  Tunisia have taken the lead, so Tunisia lead Panama by two goals to one.
[4537.00 - 4540.00] P:1641.78 E:0.261514 |  So that in the match, they'll both be going home,
[4540.00 - 4543.00] P:1732.08 E:0.240071 |  they're both going out after the group stages.
[4543.00 - 4546.00] P:1730.55 E:0.246187 |  Panama took the lead, but Tunisia winning two-one.
[4546.00 - 4549.00] P:1695.47 E:0.288651 |  As the final group matches at this 2018 World Cup,
[4549.00 - 4553.00] P:1710.83 E:0.253116 |  Marcus Rashford is off on a little run out towards the left-hand side.
[4553.00 - 4558.00] P:1621.12 E:0.236962 |  Rose was there, now back to Delph, Rashford, back towards McGuire near the halfway line.
[4558.00 - 4563.00] P:1718.34 E:0.214409 |  There are 20 minutes to play, and the approach of England in this position
[4563.00 - 4565.00] P:1654.31 E:0.224557 |  will be very interesting to see.
[4565.00 - 4570.00] P:1762.68 E:0.235538 |  One nail down, which means they go to Moscow,
[4570.00 - 4574.00] P:1844.08 E:0.234485 |  if it stays like this, to play Columbia,
[4574.00 - 4579.00] P:1791.93 E:0.280237 |  and will be in the same quarter of the draw as Sweden and Switzerland.
[4579.00 - 4582.00] P:1760.91 E:0.221386 |  They would be potential quarter-final opponents.
[4582.00 - 4585.00] P:1617.66 E:0.284478 |  Daya plays the ball out towards the far side to Alexander Arnold.
[4585.00 - 4589.00] P:1673.71 E:0.265754 |  Alexander Arnold beats Azard, and then a left foot across to the back post.
[4589.00 - 4593.00] P:1775.80 E:0.274819 |  Rose nods it across, it took a header away, Delph hits a shot.
[4593.00 - 4597.00] P:1631.35 E:0.284771 |  It's deflected by Boyatta, which took it square and away from goal into the full-back position,
[4597.00 - 4600.00] P:1713.12 E:0.238892 |  and Chadley will complete the clearance.
[4600.00 - 4603.00] P:1743.82 E:0.227911 |  In fact, he keeps it in, gives it to McGuire, and England can start again.
[4603.00 - 4608.00] P:1717.51 E:0.246814 |  The England band drumming at their rhythm as Daya's pass over the top
[4608.00 - 4611.00] P:1764.36 E:0.265755 |  is too strong into the arms of Kouatois.
[4611.00 - 4613.00] P:1663.89 E:0.261243 |  I think England's got a lot of possession.
