[0.00 - 5.60] P:1575.80 E:0.182317 |  And it is a beautiful evening here on the Côte d'Azur.
[4037.00 - 4048.00] P:1819.27 E:0.160062 |  the young part-time dentist who is about to take over this job as head coach on his own, and he now is there on the edge of the coaching area.
[4048.00 - 4058.00] P:1748.02 E:0.163541 |  He'll be giving up the dentistry, incidentally, in case you were wondering. But England losing to this spirited bunch of Icelandic players.
[4058.00 - 4065.00] P:1678.83 E:0.161590 |  I thought he'd get out of there, he's full of smiles, Roy, then, for a minute. Here is Rooney, Rooney, deflected pass, finds Kane.
[4065.00 - 4071.00] P:1645.75 E:0.199175 |  Kane now has Ali to his left, he's taught them team mate, there's a little short that pass. Ali was fouled there by Goodmanson, he was.
[4071.00 - 4079.00] P:1653.82 E:0.155567 |  And that's a yellow card for Aaron Goodmanson. They're doing well to share out the yellow cards, aren't they?
[4079.00 - 4084.00] P:1621.67 E:0.189394 |  I thought he must surely be one of the players who was on the yellow card away, but he isn't.
[4084.00 - 4089.00] P:1452.32 E:0.167892 |  There's only one player now, I think, is that Bedvardsson, but isn't on a yellow card.
[4089.00 - 4091.00] P:1459.95 E:0.153546 |  That's right, Bedvardsson, who's...
[4091.00 - 4092.00] P:1762.90 E:0.268943 |  He'll be the next one.
[4092.00 - 4095.00] P:1640.31 E:0.154298 |  Well, who either get sent off or obviously miss the next game.
[4095.00 - 4104.00] P:1714.16 E:0.159613 |  Right, free kick, now it's a long way out, this is 35 yards plus. Harry Kane slightly left of centre.
[4104.00 - 4109.00] P:1669.12 E:0.181450 |  Can Harry Kane provide the big moment for England? They're 25 minutes.
[4109.00 - 4115.00] P:1613.05 E:0.187567 |  From an England point of view, the hands of the clock seem to be whizzing around and they're making little impression.
[4115.00 - 4120.00] P:1785.90 E:0.135025 |  Free kick. Harry Kane, waiting to take it.
[4120.00 - 4124.00] P:1761.12 E:0.184087 |  Wall of three Icelandic players and Smallings there as well.
[4124.00 - 4130.00] P:1726.80 E:0.190038 |  So Harry Kane goes for goal, but it's well wide, well wide by six yards and more.
[4130.00 - 4134.00] P:1634.14 E:0.185103 |  And you can hear a little bit of anger, I think, from the England supporters.
[4134.00 - 4141.00] P:1653.27 E:0.145973 |  As if to say, you know, have you not more than that? Have England not got more than that to offer?
[4141.00 - 4143.00] P:1705.00 E:0.180886 |  Back behind that goal to Ian Dennis.
[4143.00 - 4147.00] P:1699.25 E:0.188356 |  Yeah, behind me, they're over my left shoulder, cries of what was that?
[4147.00 - 4152.00] P:1629.99 E:0.156654 |  A few expletives in there as well, booze and jeers, and they're getting very, very restless.
[4154.00 - 4160.00] P:1644.07 E:0.164273 |  Just over a quarter of the 90 minutes to go, and England heading out.
[4160.00 - 4165.00] P:1737.89 E:0.176167 |  Sturridge on the right, Sturridge is crossed, headed down by Gunnarsson, no one there on a white shirt.
[4165.00 - 4170.00] P:1776.93 E:0.176991 |  Three players inside the box, but it's hammered away downfield by the blue shirts of Iceland.
[4170.00 - 4175.00] P:1664.59 E:0.151485 |  And it's eventually bouncing out of play for a three, that Smalling will take to Cahill.
[4175.00 - 4180.00] P:1695.07 E:0.165978 |  Show many England supporters have had all sorts of plans put in place to head to Paris
[4180.00 - 4187.00] P:1619.42 E:0.155386 |  in the expectation that Iceland would be dismissed and it would be France against England on Sunday night.
[4187.00 - 4194.00] P:1764.29 E:0.142174 |  But not so. He has Rooney, Rooney winning his 115th cap tonight.
[4194.00 - 4200.00] P:1842.89 E:0.165346 |  He scored his 53rd goal for England. Cain, then Wiltshire, back to Rooney again.
[4200.00 - 4206.00] P:1775.90 E:0.191154 |  Rooney has a look up, Dummies to cross on then Guilty Sigurdsson cleverly recovers
[4206.00 - 4212.00] P:1651.16 E:0.159008 |  and puts it out of play on a far side. Even Rooney's laboring now, maybe trying to do too much on his own.
[4212.00 - 4218.00] P:1876.77 E:0.171646 |  Rooney chips it infield to Wiltshire. Wiltshire chests it down into his path, shoots low,
[4218.00 - 4222.00] P:1678.10 E:0.178404 |  but that's worldwide as well by six yards and more. It's exactly the same as for Vacchia.
[4222.00 - 4226.00] P:1759.87 E:0.167795 |  It's basically saying we need an individual to come up with something special.
[4226.00 - 4233.00] P:1705.49 E:0.166834 |  There's no real game plan. There's no clear obvious tactical way to break down this side.
[4233.00 - 4241.00] P:1685.79 E:0.157747 |  It's basically hope. It's sorry for England. It's England one, Iceland two, and here's Alan Green.
[4242.00 - 4252.00] P:1685.54 E:0.142142 |  It's clueless. Straight forward, clueless. Exactly as it was in the closing stages of the game against Vacchia.
[4252.00 - 4259.00] P:1581.32 E:0.157605 |  But the question is, I mean Iceland have given an awful lot in this game. Are they going to hold out?
[4259.00 - 4268.00] P:1611.61 E:0.158659 |  It only needs one moment of inspiration from England and surely they have players on the field who could provide that inspiration.
[4268.00 - 4275.00] P:1662.52 E:0.177357 |  And here's Dionyssen, who was earlier in the referee's whistle for a foul challenge.
[4275.00 - 4280.00] P:1597.17 E:0.168070 |  And it's an England free kick. Played by Cahill to the far side and Walker.
[4280.00 - 4288.00] P:1645.24 E:0.170715 |  We've got less than 22 minutes to go. Sturridge with just a hopeful ball forward, easily cleared by Ragnar Sigurdsson,
[4288.00 - 4294.00] P:1585.71 E:0.172742 |  who equalized, remember, a mere matter of seconds after Rooney's penalty put England in front.
[4294.00 - 4301.00] P:1600.52 E:0.197662 |  And then a little bit later, Sigurdsson made it 2-1. That was in the 18th minute. England on the attack down the near side.
[4301.00 - 4307.00] P:1615.45 E:0.192548 |  That's the left. Roses got past one defender, crosses into the penalty here and attempted volley clearance away.
[4307.00 - 4313.00] P:1730.51 E:0.192910 |  Ball falls to Rooney. Oh, Rooney slips. Rooney looks exhausted. He looks out in his feet, Rooney.
[4313.00 - 4314.00] P:1636.32 E:0.224071 |  He lost the ball.
[4314.00 - 4317.00] P:1766.82 E:0.152100 |  He was rested in the last game. He shouldn't be exhausted.
[4317.00 - 4319.00] P:1665.16 E:0.144445 |  That's how he looks, isn't it?
[4319.00 - 4324.00] P:1765.35 E:0.171521 |  I understand. I think maybe he's trying too hard. Possibly players aren't on the same wavelength.
[4324.00 - 4329.00] P:1767.46 E:0.189951 |  He's looking for things and they're not there. And that's why he's hesitating and then getting caught on the ball.
[4329.00 - 4334.00] P:1808.41 E:0.188440 |  Goodest of pleasure to Savarsson over the halfway line. It's played long goodness gracious.
[4334.00 - 4337.00] P:1600.31 E:0.182885 |  There were suddenly two against one for Iceland, off against Cahill.
[4337.00 - 4340.00] P:1652.53 E:0.196064 |  It says, well, Cahill headed the ball clear to safety.
[4340.00 - 4345.00] P:1704.68 E:0.186186 |  Now, Harry Kane. Kane on the party. Party into the penalty. Good tackle.
[4345.00 - 4350.00] P:1619.99 E:0.215438 |  Nothing wrong with a challenge. It might not even go behind for a corner. I think it has.
[4350.00 - 4354.00] P:1866.39 E:0.181883 |  There's a corner. What a tackle. Great tackle.
[4354.00 - 4360.00] P:1897.19 E:0.195005 |  First opportunity for Jamie Vardy. Turn, running the goal scorer, Sigurdsson.
[4360.00 - 4368.00] P:1887.33 E:0.164644 |  And he dives in. Last ditch challenge. Hooks his foot around the ball. Outstanding defending.
[4368.00 - 4373.00] P:1772.12 E:0.194020 |  Exactly what the goalkeeper didn't do in the challenge on Sterling, which led to England's penalty.
[4373.00 - 4376.00] P:1806.79 E:0.164729 |  Had to time it. Absolute perfection indeed.
[4376.00 - 4380.00] P:1624.30 E:0.176876 |  So, Rooney just hit the corner in front of the England fans. 20 minutes left for play.
[4380.00 - 4386.00] P:1631.34 E:0.182119 |  England trailed by two goals to one here in five lines. Rooney from the left to deliver right footed.
[4386.00 - 4390.00] P:1630.76 E:0.188760 |  There it goes into the near post and it's a simple header clear. Didn't beat the first defender.
[4390.00 - 4394.00] P:1789.03 E:0.151671 |  Now, Wilshire. Back to Rose. Rooney's available down the left side.
[4394.00 - 4398.00] P:1677.56 E:0.167249 |  Rose doesn't need his captain at the moment. Now he calls. It's played to Rooney.
[4398.00 - 4405.00] P:1800.68 E:0.179952 |  He steps inside. Flicks it. Overhits it. Wildly overhits it. Behind for a goal kick.
[4407.00 - 4409.00] P:1936.66 E:0.201016 |  Chris is not getting any better, is it?
[4409.00 - 4417.00] P:1751.34 E:0.182697 |  No. Unfortunately, Sturridge has gone out the game. Sturridge has got to start wandering and get on the ball somewhere around the last third.
[4417.00 - 4424.00] P:1616.81 E:0.198579 |  He's just not getting anything on that wing now. We're really unfortunate. He's doing everything and some are coming off some are not.
[4424.00 - 4429.00] P:1541.63 E:0.222900 |  But he's the only one who's seems to be getting on the ball and demanding the ball and you need a few more to follow him.
[4429.00 - 4434.00] P:1380.97 E:0.188089 |  But Aislin very comfortable at the minute. Defending very, very comfortably.
[4434.00 - 4439.00] P:1536.99 E:0.191052 |  Rose and the ball. Finds Alley. Party in the edge of the penalty chair. That was a great ball by Barney.
[4439.00 - 4444.00] P:1455.04 E:0.197795 |  Harry Kane couldn't control that. But Sturridge keeps it a play in the far side of the field.
[4444.00 - 4451.00] P:1651.64 E:0.175616 |  England won Aislin too. Here's Jack Wilshire. And Wilshire wants with the left side.
[4451.00 - 4457.00] P:1759.80 E:0.182602 |  The ball is into Smalling. Now it's Kane and it's going right. It's your Walker.
[4457.00 - 4463.00] P:1766.32 E:0.171424 |  Walker with Sturridge to his right. Not the best of passes to Sturridge. Sturridge gets there before Skullisen.
[4463.00 - 4469.00] P:1779.96 E:0.180821 |  The left back. And it goes. Kane shoots. Blocked by the defender. How many blocks of Aislin made?
[4469.00 - 4476.00] P:1688.63 E:0.176433 |  They just defend so well. Then Bjarneson on the far side of the field. Bjarneson almost got beyond Walker.
[4476.00 - 4481.00] P:1725.34 E:0.152497 |  Bjarneson has to stop now. Into Guilfee-Sigertsen. Guilfee-Sigertsen to Bjarneson once more.
[4481.00 - 4485.00] P:1586.98 E:0.166768 |  Balls on the halfway line. Down to Aislandic left. Back to Skullisen.
[4485.00 - 4491.00] P:1695.30 E:0.180142 |  And they're getting confident now Aislin. Passing the ball amongst themselves. Making England chase.
[4491.00 - 4496.00] P:1660.01 E:0.207575 |  England aren't chasing very well at the moment. And you hear the response from the Aislandic fans.
[4496.00 - 4500.00] P:1752.91 E:0.191618 |  That's a great crossfield ball hit by the captain Gunnarsson to the right side.
[4500.00 - 4505.00] P:1687.10 E:0.188456 |  And Cyberson into the England pender. Shirtson is just over the crossbar.
[4505.00 - 4509.00] P:1897.12 E:0.174838 |  And he can't entirely convince that Johard had it covered.
[4509.00 - 4514.00] P:1880.82 E:0.165627 |  Great strike from the fallback. Just sat up nicely for him. Just bobbled up.
[4514.00 - 4517.00] P:1702.31 E:0.197236 |  I think Johard might have got there. Had it been under the crossbar.
[4517.00 - 4521.00] P:1736.93 E:0.203472 |  But don't worry, we watched probably the worst game ever in European Championship history.
[4521.00 - 4522.00] P:1794.16 E:0.124300 |  It was.
[4522.00 - 4527.00] P:1750.45 E:0.177829 |  There were no shots. England have not had a shot on target in this second half.
[4527.00 - 4531.00] P:1596.38 E:0.186140 |  Well that's the thing that has disappointed me. Among so many things tonight about England's performance.
[4531.00 - 4535.00] P:1628.46 E:0.176148 |  We talked about the chances they created in the group games. Danny, undoubtedly they did.
[4535.00 - 4540.00] P:1701.73 E:0.181503 |  They didn't score the goals that the chances merited. But tonight they haven't even had chances.
[4540.00 - 4544.00] P:1743.47 E:0.165506 |  The goals he did score. Die is free kick. The goalkeeper dived the wrong way to start with.
[4544.00 - 4550.00] P:1721.84 E:0.161439 |  You know, poor goalkeeping. Bardi was lucky. It was an offside. You know, Ashley Williams headed it backwards.
[4550.00 - 4554.00] P:1657.13 E:0.182363 |  Storage. OK, that was a decent goal. Caught the keeper out. And then Rooney gets a penalty.
[4554.00 - 4559.00] P:1688.73 E:0.174499 |  Terrible ball by Ali, but Walker made the best of it. Kept it in England's possession.
[4559.00 - 4563.00] P:1647.03 E:0.183952 |  It's with Rooney. On to Walker again. They run forward by Ali.
[4563.00 - 4567.00] P:1718.39 E:0.179571 |  Walker tried to find storage. That was an easy option and he didn't do it.
[4567.00 - 4571.00] P:1610.58 E:0.169991 |  And now it's cleared over the half-way line. Sigtorsen on the far side of the field.
[4571.00 - 4576.00] P:1740.16 E:0.189961 |  Just encouraging the England defender to put the ball out of play for what the Icelandic wanted.
[4576.00 - 4581.00] P:1799.14 E:0.146603 |  A throwing. And they'll slow it down. And who would blame them?
[4581.00 - 4587.00] P:1807.25 E:0.182661 |  It is a sensational story what Iceland are doing in this European Championship.
[4587.00 - 4592.00] P:1782.70 E:0.176466 |  England are going to make another change and it's Marcus Rashford who's coming on.
[4592.00 - 4594.00] P:1835.78 E:0.120423 |  I just hope it's not too late.
[4594.00 - 4599.00] P:1727.91 E:0.187193 |  It could be for storage because otherwise it's just a matter of putting on every attacking play you've got
[4599.00 - 4604.00] P:1730.43 E:0.198422 |  and hoping that something comes up. There's a mistake. The ball is with Iceland in the edge of the England penalty here.
[4604.00 - 4609.00] P:1694.28 E:0.188921 |  But Goodmanson could not find his way through. The ball's back to heart.
[4609.00 - 4615.00] P:1691.53 E:0.143136 |  And now it's cleared to Rose. On to Ali. Over the half-way line. England left.
[4615.00 - 4621.00] P:1822.03 E:0.126553 |  Rashford will be a change. Eminent.
[4621.00 - 4627.00] P:1771.89 E:0.166331 |  Arguably he should have come on instead of Vardy. But who knows? Here is Vardy.
[4627.00 - 4631.00] P:1710.89 E:0.170047 |  The big concern is England aren't battering Iceland at the moment.
[4631.00 - 4634.00] P:1836.09 E:0.173936 |  Creating a chance up the chance. The goal keeps having an absolute worldie.
[4634.00 - 4636.00] P:1547.04 E:0.184680 |  Is that nothing to do in this second half?
[4636.00 - 4640.00] P:1727.01 E:0.189549 |  16 minutes left to play. Good ball forward to Harry Kane. Edge of the penalty.
[4640.00 - 4646.00] P:1653.51 E:0.195488 |  Kane was then falling on the defender. He was trying to encourage a free kick or a penalty kick.
[4646.00 - 4650.00] P:1560.36 E:0.176682 |  Even better. He got neither rightly so. And Bjarnasson is the ball for Iceland.
[4650.00 - 4655.00] P:1546.82 E:0.142593 |  On to the far side of the field and Bryd Barson. Bryd Barson moving in.
[4655.00 - 4659.00] P:1666.27 E:0.163993 |  And then taps it back to his central defender. Sigurdsson. That's Ragnar Sigurdsson.
[4659.00 - 4664.00] P:1641.53 E:0.175110 |  His clearance over the half-way line which is just a way of giving England the ball back.
[4664.00 - 4666.00] P:1688.32 E:0.145299 |  I think England will get lucky.
[4666.00 - 4670.00] P:1706.38 E:0.173198 |  Cahill to Ali in the centre of the Iceland half. On it goes to Wiltshire.
[4670.00 - 4674.00] P:1809.90 E:0.190199 |  Wiltshire approaching the penalty. The Sturridge wafts the ball into the air.
[4674.00 - 4678.00] P:1666.99 E:0.201923 |  Into the box. The header on and it's easily saved by the goalkeeper.
[4678.00 - 4684.00] P:1864.58 E:0.178933 |  As it stands, I can't see it being a brilliant team goal or something magical.
[4684.00 - 4687.00] P:1834.12 E:0.143867 |  They're going to have to get lucky at some point.
[4687.00 - 4693.00] P:1861.68 E:0.164845 |  The goalkeeper still hasn't had a save to make. And this is exactly what happened against Slovakia.
[4693.00 - 4697.00] P:1829.75 E:0.167764 |  Chock on all the players. And I go, whatever happens, if Denau's listening to Denne game,
[4697.00 - 4701.00] P:1740.36 E:0.153169 |  you have to ask Roy Hodgson what was the plan in the second half.
[4701.00 - 4705.00] P:1731.05 E:0.173812 |  And was there a plan when you brought on the substitutes that the players were told at half-time?
[4705.00 - 4707.00] P:1661.27 E:0.160831 |  Because it doesn't look like there is.
[4707.00 - 4711.00] P:1774.90 E:0.203037 |  They could perform the edge of the England penalty. There was a foul challenge but it's with Bryd Barson.
[4711.00 - 4714.00] P:1869.63 E:0.186901 |  Bryd Barson still going edge of the six-yard box.
[4714.00 - 4717.00] P:1771.84 E:0.192276 |  Taps it to a non-existent blue shot on the far side of the field.
[4717.00 - 4720.00] P:1823.16 E:0.199957 |  And it's cleared by Sturridge with straight into Iceland's possession again.
[4720.00 - 4723.00] P:1674.69 E:0.198399 |  Inside the final quarter of an hour. Iceland lead 2-1.
[4723.00 - 4727.00] P:1744.47 E:0.180577 |  And then Skullis from the left back looks exhausted as he came forward.
[4727.00 - 4729.00] P:1763.35 E:0.182603 |  And the ball squirts through to Johar.
[4729.00 - 4733.00] P:1724.81 E:0.156082 |  Maybe the first question to Roy Hodgson should be, do you have a nerve?
[4733.00 - 4735.00] P:1760.08 E:0.152691 |  And are you going to try to stay on your job?
[4735.00 - 4738.00] P:1785.05 E:0.171606 |  No, I think he's got to ask him what the plan was in the second half.
[4738.00 - 4740.00] P:1700.54 E:0.163672 |  Because that has been done whatsoever.
[4740.00 - 4744.00] P:1817.47 E:0.176251 |  Iceland are now making a couple of changes. They've all worked very, very hard.
[4744.00 - 4748.00] P:1804.34 E:0.165510 |  If Iceland had decent attacking players, no, that's wrong.
[4748.00 - 4753.00] P:1687.79 E:0.179593 |  If they were better at attacking in numbers, they could be winning this four or five-one at the moment.
[4753.00 - 4755.00] P:1790.57 E:0.176395 |  They've had better chances.
[4755.00 - 4758.00] P:1787.15 E:0.196223 |  They've created better opportunities in the second half than England have.
[4758.00 - 4761.00] P:1866.02 E:0.180474 |  Elmer, Bjarnasson is coming on to.
[4761.00 - 4766.00] P:1876.12 E:0.179534 |  We've got two Bjarnasons on the pitch and the man being replaced is Bryd Barson.
[4768.00 - 4771.00] P:1805.87 E:0.163068 |  And there's no great hurry, is there?
[4772.00 - 4774.00] P:1805.74 E:0.201033 |  Is there any plan that was on the booking?
[4774.00 - 4776.00] P:1815.57 E:0.082567 |  Sorry, hold on a second.
[4776.00 - 4778.00] P:1881.30 E:0.142633 |  Is that a change of plan?
[4778.00 - 4782.00] P:1794.46 E:0.145206 |  Because actually the player who's come off, Sik Dorson.
[4782.00 - 4784.00] P:1620.33 E:0.167034 |  I think they've put up the wrong number.
[4784.00 - 4786.00] P:1723.36 E:0.181399 |  Yeah, Sik Dorson has come up.
[4786.00 - 4789.00] P:1591.94 E:0.156669 |  Even at European Championship level, they've got it wrong with officials.
[4789.00 - 4792.00] P:1823.24 E:0.143162 |  Bryd Barson stays on the field.
[4793.00 - 4797.00] P:1753.03 E:0.128876 |  They've worked so hard, those two strikers.
[4797.00 - 4801.00] P:1744.92 E:0.150442 |  Iceland nevertheless look very tired themselves.
[4801.00 - 4806.00] P:1668.29 E:0.155106 |  They'd be just holding England out, even though, frankly, on this England display,
[4806.00 - 4809.00] P:1595.00 E:0.129176 |  it hasn't been that difficult to hold England out.
[4810.00 - 4814.00] P:1861.88 E:0.179276 |  England one, Iceland two, 13 minutes to go.
[4814.00 - 4816.00] P:1794.81 E:0.165903 |  Bring in Chris Mordell in just a moment.
[4816.00 - 4824.00] P:1793.89 E:0.155015 |  Here's Rose, back to smalling, inside the England half, on to Cahill and Cahill to Wilshire.
[4824.00 - 4827.00] P:1652.74 E:0.180824 |  And Wilshire just of age being caught in possession there in the far side of the field.
[4827.00 - 4832.00] P:1724.03 E:0.149056 |  Then he puts Walker under pressure, Sturridge collects it, back to Cahill.
[4832.00 - 4834.00] P:1614.54 E:0.178482 |  Rooney drops into the centre circle.
[4834.00 - 4836.00] P:1612.12 E:0.157571 |  The captain on the halfway line.
[4836.00 - 4840.00] P:1794.58 E:0.128464 |  Rooney slides the pass to the far side of the field.
[4840.00 - 4842.00] P:1730.16 E:0.179370 |  And it's with Walker the right fullback.
[4842.00 - 4847.00] P:1852.99 E:0.155286 |  We've got 12 and a half minutes, plus out of time remaining here in Nice.
[4847.00 - 4850.00] P:1895.91 E:0.150657 |  The future is not bright.
[4850.00 - 4852.00] P:1887.69 E:0.160762 |  Here's Rooney again.
[4852.00 - 4855.00] P:1796.67 E:0.166886 |  To Kane, who dropped into the inside right channel.
[4855.00 - 4859.00] P:1716.13 E:0.175488 |  Kane sweeps across in the direction of Barney, headed away by the defender.
[4859.00 - 4861.00] P:1809.08 E:0.167967 |  And it's still inside the penalty area.
[4861.00 - 4864.00] P:1529.85 E:0.172400 |  Barney challenging for the ball and wins it back for England.
[4864.00 - 4866.00] P:1713.39 E:0.161402 |  Barney plays it to Walker.
[4866.00 - 4868.00] P:1645.11 E:0.140084 |  To Barney once more.
[4868.00 - 4870.00] P:1851.09 E:0.172339 |  Sturridge is inside the penalty area.
[4870.00 - 4872.00] P:1770.49 E:0.168229 |  The pass goes back to Wilshire.
[4872.00 - 4873.00] P:1617.69 E:0.227365 |  Wilshire chips it forward.
[4873.00 - 4874.00] P:1988.19 E:0.198966 |  Kane is there!
[4874.00 - 4876.00] P:1758.41 E:0.182817 |  Head straight in the goalkeeper.
[4876.00 - 4878.00] P:1794.38 E:0.158375 |  And he wasn't offside.
[4878.00 - 4880.00] P:1854.65 E:0.159191 |  Wasn't the easiest of chances.
[4880.00 - 4882.00] P:1780.53 E:0.199940 |  He pulled off at the back post.
[4882.00 - 4885.00] P:1721.93 E:0.157618 |  Goalkeeper was in a very, very good position.
[4885.00 - 4887.00] P:1620.18 E:0.147516 |  Centre of the goal.
[4887.00 - 4891.00] P:1446.13 E:0.155350 |  I'm not a centre forward, but I think that's a difficult chance to score from that angle.
[4891.00 - 4894.00] P:1543.06 E:0.184262 |  You almost just got to loop it into the far corner.
[4894.00 - 4896.00] P:1577.53 E:0.171540 |  What are your thoughts, Chris Waddle?
[4896.00 - 4898.00] P:1309.87 E:0.218708 |  I totally agree with Danny. It's not an easy chance.
[4898.00 - 4900.00] P:1325.72 E:0.194269 |  Good ball, good movement by Oli Kane.
[4900.00 - 4902.00] P:1468.18 E:0.212231 |  But they're not crosses, Alan. They're coming through the middle again.
[4902.00 - 4904.00] P:1547.86 E:0.195510 |  All the time, they're getting shots blocked.
[4904.00 - 4906.00] P:1122.12 E:0.221280 |  Don't put the ball in when they get away, though.
[4906.00 - 4908.00] P:1339.74 E:0.179802 |  Put the ball in the box.
[4908.00 - 4912.00] P:1581.07 E:0.144439 |  11 in a bit minutes to go.
[4912.00 - 4915.00] P:1748.25 E:0.160189 |  Here's Gunnerson, the captain, with the throw in.
[4915.00 - 4919.00] P:1728.72 E:0.192383 |  He's not near enough to the penalty area to throw it into the England box.
[4919.00 - 4924.00] P:1650.69 E:0.142648 |  It now pops up on the left-hand side with Bickir Bjarneson.
[4924.00 - 4926.00] P:1659.53 E:0.143337 |  Onto the substitute.
[4926.00 - 4928.00] P:1469.89 E:0.150468 |  Elmer Bjarneson.
[4928.00 - 4931.00] P:1675.54 E:0.184317 |  He loses it and then he foul tackles it in the England player.
[4931.00 - 4934.00] P:1625.48 E:0.189462 |  And it's going to be a free kick to go into the right of the penalty area.
[4934.00 - 4936.00] P:1844.12 E:0.151743 |  Jew Hart rushes to take it.
[4936.00 - 4941.00] P:1740.61 E:0.129177 |  Hart certainly at fault for the second Icelandic goal.
[4941.00 - 4944.00] P:1549.33 E:0.115436 |  Now it's with Ramsey.
[4944.00 - 4947.00] P:1654.38 E:0.154542 |  Ramsey's middle of his own half.
[4947.00 - 4949.00] P:1677.46 E:0.135953 |  Onto Rooney.
[4949.00 - 4951.00] P:1670.16 E:0.200091 |  Ali rushes forward, inside left channel.
[4951.00 - 4954.00] P:1599.89 E:0.182017 |  Sturridge has been given the freedom to wander the fears.
[4954.00 - 4957.00] P:1615.67 E:0.182042 |  Sturridge pops up, just left of the centre circle at the moment.
[4957.00 - 4959.00] P:1607.39 E:0.185587 |  Sturridge, good ball forward to Kane.
[4959.00 - 4962.00] P:1642.06 E:0.189625 |  Kane to Ali. Ali chips it towards Vardy.
[4962.00 - 4966.00] P:1726.94 E:0.181550 |  Vardy is there, but the goalkeeper advanced quickly and got through the ball first.
[4966.00 - 4968.00] P:1832.96 E:0.131529 |  What happened to Rashford?
[4968.00 - 4970.00] P:1809.39 E:0.187460 |  What did happen to Rashford?
[4970.00 - 4972.00] P:1751.88 E:0.121210 |  He was stripped, ready to come on.
[4972.00 - 4975.00] P:1592.95 E:0.154926 |  Uh, mmm, wasn't he?
[4975.00 - 4978.00] P:1692.59 E:0.137881 |  Well, he's still not on.
[4978.00 - 4982.00] P:1724.97 E:0.166338 |  And even so, I was opposing the question who he'd come on for.
[4982.00 - 4984.00] P:1637.36 E:0.163636 |  I thought he'd come on for Sturridge.
[4984.00 - 4987.00] P:1717.79 E:0.079579 |  But let's see.
[4987.00 - 4989.00] P:1716.23 E:0.124757 |  Dear, dear.
[4989.00 - 4991.00] P:1754.90 E:0.133481 |  Here's Wilshire.
[4991.00 - 4994.00] P:1771.86 E:0.156082 |  We've got ten minutes to go here in five line.
[4994.00 - 4996.00] P:1788.97 E:0.179068 |  England one, Iceland two.
[4996.00 - 4998.00] P:1605.83 E:0.147944 |  Walker on the far side of the field.
[4998.00 - 5001.00] P:1732.68 E:0.151668 |  Walker has to play it back to Kehl.
[5001.00 - 5003.00] P:1893.49 E:0.154695 |  No options further forward.
[5003.00 - 5005.00] P:1910.39 E:0.179117 |  England players two static.
[5005.00 - 5007.00] P:1895.23 E:0.168576 |  Iceland players marking.
[5007.00 - 5009.00] P:1872.78 E:0.159608 |  Milestone for Iceland, 80 minutes.
[5009.00 - 5011.00] P:1870.10 E:0.175684 |  They've got now ten minutes to hang on.
[5011.00 - 5015.00] P:1808.24 E:0.172227 |  They will start to believe now that they can make this miracle happen.
[5015.00 - 5019.00] P:1755.28 E:0.176126 |  Well, it would easily be the standout result of this European Championship.
[5019.00 - 5023.00] P:1759.76 E:0.153304 |  And one of the worst England results of all time.
[5023.00 - 5025.00] P:1846.46 E:0.159981 |  The ball play towards Sturridge.
[5025.00 - 5028.00] P:1736.04 E:0.176230 |  Sturridge dances away from two challenges, but not the third.
[5028.00 - 5030.00] P:1713.53 E:0.158607 |  It's played back to Wagner Sigurdsson.
[5030.00 - 5032.00] P:1748.72 E:0.190445 |  He plays at the school of Sturridge in the far side of the field.
[5032.00 - 5035.00] P:1725.37 E:0.203749 |  His attempt at clearance was blocked and now it's won back.
[5035.00 - 5039.00] P:1763.22 E:0.183734 |  And again, Sigurdsson goes in, makes the challenge, brilliant challenge on Vardy.
[5039.00 - 5042.00] P:1605.75 E:0.200892 |  And Sigurdsson is then fouled by Jamie Vardy.
[5042.00 - 5044.00] P:1835.30 E:0.166772 |  Free kick to Iceland.
[5044.00 - 5047.00] P:1918.77 E:0.156295 |  That's how to play against Jamie Vardy.
[5047.00 - 5049.00] P:1849.82 E:0.169628 |  You know, fight fire with fire.
[5049.00 - 5052.00] P:1901.68 E:0.168335 |  You know, Jamie Vardy is a strong, aggressive player.
[5052.00 - 5056.00] P:1873.04 E:0.142143 |  Sigurdsson was quite happy to do that all day long.
[5056.00 - 5060.00] P:1878.59 E:0.134700 |  Two-one Iceland lead.
[5060.00 - 5063.00] P:1781.11 E:0.187491 |  It's a scoreline. It's very hard to believe.
[5063.00 - 5066.00] P:1914.72 E:0.131105 |  Nine minutes to go.
[5066.00 - 5070.00] P:1767.41 E:0.164844 |  And we're not belittling Iceland's performance, are we, Danny?
[5070.00 - 5073.00] P:1576.53 E:0.226532 |  We know they're a really good side in terms of their organisation.
[5073.00 - 5075.00] P:1669.29 E:0.205264 |  We knew what they were going to do.
[5075.00 - 5077.00] P:1822.96 E:0.171552 |  The coach told us how they were going to play.
[5077.00 - 5080.00] P:1734.09 E:0.148145 |  He told us they were going to be dangerous from set pieces.
[5080.00 - 5082.00] P:1720.60 E:0.191573 |  He told us they were going to score.
[5082.00 - 5084.00] P:1652.46 E:0.159845 |  And that's exactly what they've done.
[5084.00 - 5086.00] P:1696.30 E:0.188260 |  A little bit of a skirmish on the far touchline,
[5086.00 - 5091.00] P:1684.38 E:0.143073 |  involving Kay Hill and Bricker Bjarnesson.
[5091.00 - 5094.00] P:1757.48 E:0.144214 |  Play continues with Ingen having possession.
